scene	code_index	zh_body
SEEN6430	15006	$S055「格乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌乌」
SEEN6444	55	「＊Ａ，早上好。」
SEEN6444	58	「＊Ｂ，早上好。」
SEEN6444	137	「不,你跟我谈了很多下午,＊Ａ」
SEEN6444	140	「不,你跟我谈了很多下午,＊Ｂ」
SEEN6444	142	「我最后在早上说了很多话」
SEEN6444	363	「那我也希望你谈谈＊Ａ」
SEEN6444	366	「那我也希望你谈谈＊Ｂ」
SEEN6444	1084	「怎么了，＊Ａ？」
SEEN6444	1087	「怎么了，＊Ｂ？」
SEEN6444	1230	一起吃午饭渚…
SEEN6444	1232	…离开学校渚.
SEEN6444	1234	我们每天都这样
SEEN6444	1236	有时我觉得它很刺激…
SEEN6444	1238	但其他人 我忍不住想着她有多可爱…
SEEN6444	1241	这就是我现在在学校的生活
SEEN6444	1260	和平无事.
SEEN6444	1262	想到我会花时间 在学校像这样…
SEEN6444	1264	这似乎几乎是滑稽的, 如果我真这么说自己。
SEEN6444	1307	五月开学后,新的学生会正式成立.
SEEN6444	1311	新的学生会周末开幕.
SEEN6444	1315	％Ｃ我经常去学生会的房间 直接和他们谈谈
SEEN6444	1317	我们对话的话题当然是戏剧俱乐部。
SEEN6444	1319	但最后,我们却无处可逃。 我们确实需要一个顾问来做任何事情。
SEEN6444	1324	智代 坂上是学生会主席
SEEN6444	1326	就是那个跟罪犯打架的女孩
SEEN6444	1328	％Ｃ我一遍又一遍地去跟学生会主席说话
SEEN6444	1330	我们对话的话题当然是戏剧俱乐部。
SEEN6444	1332	这个＊Ｂ女孩是一个令人惊讶的理解 总统。
SEEN6444	1334	但最终我们无法想出下一步行动. 我们确实需要一个顾问来做任何事情。
SEEN6444	1338	智代是学生会主席
SEEN6444	1341	以为这样会让谈话变得容易些％Ｃ我去学生会房间直接和她谈谈
SEEN6444	1359	我们对话的话题当然是戏剧俱乐部。
SEEN6444	1361	但最终,我们无法想出下一步行动. 我们确实需要一个顾问来做任何事情。
SEEN6444	1741	「＊Ａ…」
SEEN6444	1744	「＊Ｂ…」
SEEN6501	705	「我这样做是因为1%的努力,20%的热情,30%的追求荣耀,」
SEEN6501	707	「百分之二十的爱篮球,百分之二十 我美妙的友谊感,和…」
SEEN6501	1611	「它不会炫耀一个表演」
SEEN6502	182	「瓳…
SEEN6502	184	没有你,这里会很寂寞的」
SEEN6502	186	「＊Ｂ啊…
SEEN6502	188	一直都是个很好的聊天对象。」
SEEN6502	198	我会保持冷静,直到我完成这里…
SEEN6502	270	父亲」
SEEN6502	542	\n我直接掉到地上
SEEN6502	2045	(我不知道我是否喜欢她什么的… )
SEEN6502	2259	「呃,我只是觉得 这是我的房间」
SEEN6506	180	看着她 这是渚我们正在谈论。 我曾经想过, 普通人离开街道 会做比她更好的工作,
SEEN6506	182	但她现在听起来像个真正的戏剧俱乐部成员
SEEN6506	1173	\n*说*
SEEN6508	1201	「不错的主意」
SEEN6510	607	我不知道我是否真的没事 这样做。
SEEN6510	776	「垛…
SEEN6510	778	异形者」
SEEN6511	716	并开始爬山。
SEEN6511	1324	渚已经不在馆内了。
SEEN6511	1326	她应该待在设备室里 用作临时的绿色房间 换成她的服装 等待轮到她
SEEN6511	1594	　$S038$S038我不能这样做。
SEEN6511	1617	她开始哭了。
SEEN6511	2284	但她有她的父亲,早苗-作为父母
SEEN6511	2286	我敢肯定,无论损害如何,他们都能在短时间内补补.
SEEN6511	2288	我会更接近渚在我照顾她的时候 比任何人都强
SEEN6511	2316	早苗-先生的鼓励之辞有点离谱了
SEEN6511	2318	但我唯一的选择就是跟踪他们
SEEN6511	2385	在一个冬天。
SEEN6512	31	第二天对我来说是期待已久的一天;第一天的休假终于可以像夫妇一样度过.
SEEN6514	148	「这个…
SEEN6514	150	边走边说」
SEEN6514	323	我们俩可以一起走
SEEN6514	1497	冻结到位。
SEEN6514	1501	我也该重复一遍…」
SEEN6727	487	看起来我别无选择…
SEEN6727	489	我不想想象他们怎么看我 如果我只拿渚走开…
SEEN6729	828	这根本不像我…
