scene	code_index	zh_body
SEEN6800_1	10583	我只能赢 就这样
SEEN6800_1	10807	已经太晚了…
SEEN6800_2	159	原来如此
SEEN6800_2	1529	杆子上有个大鼓式变压器芳野- 老师爬上去了;
SEEN6800_2	1531	像这样的工作,我们通常检查是否有短裤,引信是否正常.
SEEN6800_2	1678	我想说这是你第一次称赞我
SEEN6800_2	1680	这么说我好起来了?
SEEN6800_2	1683	当然了 你每天都做同样的事情。
SEEN6800_2	1687	我在这里呆了这么久
SEEN6800_2	1729	还有我刚刚得到的地方
SEEN6800_2	1855	额? 你没带一些,芳野-长官?
SEEN6800_2	1907	留四公分者,亦可也. 以后记得
SEEN6800_2	1931	不,给我三十八包 就那么长…
SEEN6800_2	2322	我真的很快乐
SEEN6800_2	3906	来得到… 更好的…
SEEN6800_2	4309	这可不是剧团最后的表演,对吧?
SEEN6800_2	4311	如果这是他们如何庆祝开始, 这意味着他们有很多日期 前面他们。
SEEN6800_2	5256	现在你又让那张脸…
SEEN6800_2	5258	我觉得我必须看到新的一面渚今天,这使今天成为我书中净阳性的日子.
SEEN6800_2	5322	然后六月结束…
SEEN6800_2	5342	但在此之前,我还要经历许多繁忙的日子。
SEEN6800_2	5363	六月也结束了…
SEEN6800_2	5420	这个月的工作进展顺利。
SEEN6800_2	5441	六月也结束了…
SEEN6800_2	5446	五月过,然后六月结束.
SEEN6800_2	5485	就像K64季K0结束一样…
SEEN6800_2	5580	不,不是这样的!
SEEN6800_2	5596	呃,没有…
SEEN6800_2	5598	不是说我不想要…
SEEN6800_2	6370	这么蠢的东西…
SEEN6800_2	6510	对不起
SEEN6800_2	6812	瓳…
SEEN6800_2	6814	现在呢?
SEEN6800_2	6864	那个…
SEEN6800_2	6866	这么说＊Ｂ你终于…
SEEN6800_2	6868	嗯,这是很好听的。
SEEN6800_2	7092	但是在她说话之前就停下来
SEEN6800_2	8124	渚…)
SEEN6800_2	8179	没什么
SEEN6800_2	8338	现在呢?
SEEN6800_2	8498	我仍然担心我父亲…
SEEN6801	257	想看吗?
