scene	code_index	source	jp_text	en_text	zh_text	original_controls	pc_status	match_kind
SEEN0414	497	pc-safe	教師の声はすべて聞き流して。	The teachers' voices go in one ear and out the other.	老师的声音从我左耳流进，右耳流出。		equal-segment	same-scene-sequence
SEEN0414	532	pc-safe	一日の授業を終え、放課後に。	Classes finish, bringing the school day to an end.	上完了一天的课，到了放学时间。		equal-segment	same-scene-sequence
SEEN0414	534	pc-safe	春原の奴は最後までこなかった。	Sunohara never did show.	春原那家伙直到最后也没来。		equal-segment	same-scene-sequence
SEEN0414	536	pc-safe	結局、今日俺が話をしたのは、朝に出会った女生徒だけだった。	In fact, the only person I've spoken to all day is that girl from this morning.	结果，今天与我说过话的人，只有早上碰到的那个女生而已。		equal-segment	same-scene-sequence
SEEN0414	538	pc-safe	実に代わり映えしない毎日。	It really is just another ordinary day.	一如既往，又是毫无起色的一天。		equal-segment	same-scene-sequence
SEEN0414	541	pc-safe	部活にも入っていない俺は、空っぽの鞄を掴むと、だべる生徒の合間を抜けて、教室を後にした。	Since I'm not part of any after-school club, I grab my empty bag, cut through a pack of jabbering students, and leave the classroom.	我没有加入任何社团。此时只有抓起空空如也的书包，穿过正在扯着闲话的学生们，走出了教室。		equal-segment	same-scene-sequence
SEEN0414	559	pc-safe	家に帰っても、この時間は誰もいない。	I could go home, but there wouldn't be anyone else there at this hour. Not anyone I'd want to see, anyway.	这个时间即使回到家里，也不会有人在。		equal-segment	same-scene-sequence
SEEN0414	561	pc-safe	もとより母親はいなかった。	I don't have a mother.	我没有母亲。		equal-segment	same-scene-sequence
SEEN0414	563	pc-safe	俺が小さい頃に、交通事故で亡くなったそうだ。顔すら覚えていなかった。	I was told that she died in a car accident when I was still little. I don't even remember what she looks like.	据说是在我小时候因交通事故而去世的。现在我连她的长相也不记得了。		equal-segment	same-scene-sequence
SEEN0414	565	pc-safe	母を亡くしたショックでだろうか…残された父は堕落していった。	After her passing, my father sank into a pretty deep depression, probably due to the shock of it all.	可能是因为受到失去母亲的刺激…父亲从此堕落了。		equal-segment	same-scene-sequence
SEEN0414	567	pc-safe	アルコールを絶やすことなく飲み続け、賭け事で暇を潰す生活。	Using alcohol to numb his pain, he wasted away his days gambling.	开始过着靠不停的酗酒与赌博来消磨时间的生活。		equal-segment	same-scene-sequence
SEEN0414	570	pc-safe	少年時代の俺の暮らしは、そんな父との言い争いにより埋め尽くされた。	Because of that, a lot of my time as a kid was spent arguing with him, actually.	我的少年时代，就是被埋没在与那种父亲的不断争吵之中。		equal-segment	same-scene-sequence
SEEN0414	588	pc-safe	けど、ある事件をきっかけにその関係も変わってしまった。	But one day, our relationship took a turn for the worse.	但是，发生了某件事情之后，就连这种关系也无法维持下去了。		equal-segment	same-scene-sequence
SEEN0414	590	pc-safe	俺に暴力を振るい、怪我を負わせたのだ。	He got violent with me.	父亲对我施以暴力，我因此受伤。		equal-segment	same-scene-sequence
SEEN0414	592	pc-safe	その日以来、父親は感情を表に出さないようになった。	Ever since then, my father's stopped showing his emotions.	那天以后，父亲就不再表露出自己的感情。		equal-segment	same-scene-sequence
SEEN0414	594	pc-safe	そして、俺の名を昔のように呼び捨てではなく、『＊Ｂくん』とくん付けで呼び、言動に他人行儀を感じさせるようになった。	He's also stopped calling me just ＊Ｂ, instead calling me ＊Ｂ-kun as if we're nothing more than strangers.	甚至，不再像以前那样直呼我的名字，而是加上了尊称『君』，用『＊Ｂ君』来称呼我。感觉上他的言行也变得越来越客套多礼。		equal-segment	same-scene-sequence
SEEN0414	596	pc-safe	それはまさしく、他人同士になっていく過程だった。	And indeed, he's turned into just that at this point.	这也正是，我们变得形同陌路的过程。		equal-segment	same-scene-sequence
SEEN0414	598	pc-safe	まるで殻に閉じこもっていくように。	It's like he's retreating into some kind of shell.	就像把自己逐渐封闭在蚕茧中一样。		equal-segment	same-scene-sequence
SEEN0414	601	pc-safe	今と過去との接点を断ち切るように。	As if he's trying to sever the present from the past.	就像切断了现在和过去的纽带一样。		equal-segment	same-scene-sequence
SEEN0414	619	pc-safe	突き放すならまだ、よかったのに。	It'd be better if he'd just push me away completely or even just keep hitting me.	干脆对我撒手不管的话，还会感到好受得多。		equal-segment	same-scene-sequence
SEEN0414	621	pc-safe	傷つけてくれるなら、まだ救われたのに。	At least then I'd know where I stand with him.	干脆伤害我的话，也会感到欣慰得多。		equal-segment	same-scene-sequence
SEEN0414	623	pc-safe	なのに父は学校から帰ってきた俺の姿を見つけると、まるで旧友が訪れたように喜んで…そして世間話を始めるのだ。	But no, every time he sees me back home from school he brightens up like an old friend is visiting and starts making small talk.	但是父亲一看到我从学校回来，就好像迎来了老朋友一样…高高兴兴地与我聊起家常。		equal-segment	same-scene-sequence
SEEN0414	625	pc-safe	胸が痛くなって、居たたまれなくなって…	It hurts. It hurts so much. I can't stand being home anymore...	这时我的心会变得很痛，无法再多呆一会儿…		equal-segment	same-scene-sequence
SEEN0414	628	pc-safe	俺は家を飛び出すのだ。	That's why I stay out so late now.	于是我就跑出了家门。		equal-segment	same-scene-sequence
SEEN0414	646	pc-safe	だから顔を合わせないよう、親父の寝入る深夜になるまで家には戻らない生活をずっと続けていた。	If I come home when I know he's asleep... I don't have to see him.	所以我尽量不与父亲碰头，一直持续着不到深夜就不回家的生活。		equal-segment	same-scene-sequence
SEEN0414	648	pc-safe	明け方に寝るから、目覚めるのは昼近く。	It's why I go to bed at dawn... Of course, then I don't wake up until noon.	因为天快亮才入睡，醒来时往往也就接近中午了。		equal-segment	same-scene-sequence
SEEN0414	650	pc-safe	高校に入ってからの俺は、毎日のように遅刻だった。	I've been late almost every day since starting high school.	进入高中后，我几乎每天都会迟到。		equal-segment	same-scene-sequence
SEEN0414	653	pc-safe	そんな生活を続けて三年近くになる。	...I've spent my life like this for almost three years now.	这种生活已经持续了将近三年。		equal-segment	same-scene-sequence
SEEN0414	671	pc-safe	今日も制服だけ着替えて、親父が帰ってくる前に折り返し家を出る。	Today's no different, either. I go home just to change out of my school uniform, then leave again before my father gets back.	今天也同往常一样──只是换掉了校服，在父亲回来之前走出了家门。		equal-segment	same-scene-sequence
SEEN0414	674	pc-safe	それが体に染みついた日常だった。	The routine practically feels ingrained in me at this point.	这已经成为我的日常生活了。		equal-segment	same-scene-sequence
SEEN0414	692	pc-safe	夜の町をうろつく。	I wander around town aimlessly until nightfall.	在夜幕笼罩下的小镇里不断徘徊。		equal-segment	same-scene-sequence
SEEN0414	695	pc-safe	最後に行き着く場所はいつも同じだ。	No matter what, I always end up at the same place.	而最后的目的地每次都一样。		equal-segment	same-scene-sequence
SEEN0414	716	pc-safe	行きがけにある弁当屋で、夕飯となる弁当を買い求めた後…	On my way, I grab some $K3take-out$K0 from one of the local restaurants.	顺道在便当店买了当天的晚饭后…		equal-segment	same-scene-sequence
SEEN0414	734	pc-safe	それを手に、学校の坂下に建つ学生寮へ。	I carry it with me as I walk down the massive hill from this morning toward the school dormitory.	拿着便当，来到位于学校山坡下的学生宿舍。		equal-segment	same-scene-sequence
SEEN0414	736	pc-safe	うちの学校は特に部活動に力を入れているため、地方から入学してくる生徒も多い。	Our school pays special attention to its clubs, so a lot of students come from more rural areas to enroll.	由于我们学校特别重视社团活动，所以有很多来自外地的学生。		equal-segment	same-scene-sequence
SEEN0414	738	pc-safe	そんな生徒たちは親元を離れて、ここで三年間を過ごすことになるのだ。	Those students then live here for the next three years separated from their parents.	这些学生离开父母，在这里度过他们的三年时光。		equal-segment	same-scene-sequence
SEEN0414	740	pc-safe	俺のような学生生活に夢も持たない人間とはまったく違う人種。	These kids are practically members of a different species when compared to someone without any academic dreams like me.	与我这种对学生生活毫无梦想的人相比，他们属于完全不同的人种。		equal-segment	same-scene-sequence
SEEN0414	742	pc-safe	関わり合いになることもなかったが、こんな場所にあいつ…春原は住んでいるのだ。	Normally I wouldn't have anything to do with them, but Sunohara lives here.	虽然我跟这些人向来井水不犯河水，但是那个家伙…春原就住在这里。		equal-segment	same-scene-sequence
SEEN0414	744	pc-safe	春原は元サッカー部で、この学校にも、スポーツ推薦で入学してきた人間だ。	He used to be on the soccer team, and was even accepted to this school because of how good he was.	春原本来属于足球队，而且还是所谓的体育特招生。		equal-segment	same-scene-sequence
SEEN0414	746	pc-safe	しかし一年生の時に他校の生徒と大喧嘩をやらかし停学処分を受け、レギュラーから外された。	However, he lost his spot on the varsity team as a freshman after being suspended for getting into a huge fight with a student from another school.	但因为一年级时和外校学生打架，闹出了大乱子而遭到停学处分，主力队员身份也就此丧失。		equal-segment	same-scene-sequence
SEEN0414	748	pc-safe	そして新人戦が終わる頃には、あいつの居場所は部にはなかった。	By the time the following year's squad was decided, he was already an outcast within the team.	新人赛结束后，队里已经没有他的位置了。		equal-segment	same-scene-sequence
SEEN0414	750	pc-safe	退部するしかなかったのだ。	He had no choice but to leave.	于是他只有退队。		equal-segment	same-scene-sequence
SEEN0414	752	pc-safe	その後も別の下宿に移り住む金銭的余裕もなく、この体育会系の学生が集まる学生寮に身を置き続けているのだ。	He doesn't have the money to move though, so he still lives in the dorms where all the jocks are.	之后他因为没钱搬去别处，只好继续留在这座集中了体育社团学生的宿舍里。		equal-segment	same-scene-sequence
SEEN0414	772	pc-safe	`声@「何度言えばわかるんだよっ」	`Voice@How many times do I have to tell you?	`声音@「你到底还要我说几次啊！」		equal-segment	same-scene-sequence
SEEN0414	774	pc-safe	`春原@「でも、すげぇ小さい音だったっての」	`Sunohara@But the volume's nearly all the way down.	`春原@「但是你看这只是超小的声音嘛」		anchor	same-scene-sequence
SEEN0414	778	pc-safe	春原がいた。	Sunohara is standing there.	找到春原了。		equal-segment	same-scene-sequence
SEEN0414	780	pc-safe	別の部屋の前で、やたら図体のでかい男子生徒と話をしていた。	He's in front of another room, talking to a student about twice his size.	他正站在别的房间前，和一个身躯庞大的男生说着话。		equal-segment	same-scene-sequence
SEEN0414	782	pc-safe	`男子@「すげぇ小さい音でも、壁が薄いから響くんだよっ！」	`Boy@That doesn't matter! These walls are paper-thin, so I can still hear you!	`男生@「就算是超小的声音，隔着这么薄的墙壁我也能听见啊！」		anchor	same-scene-sequence
SEEN0414	784	pc-safe	`男子@「ヘッドホンで聴けよっ」	`Boy@Listen on your headphones or something!	`男生@「你给我用耳机听」		anchor	same-scene-sequence
SEEN0414	800	pc-safe	`春原@「んな高級なもんねぇって、ははっ」	`Sunohara@C'mon, I can't afford those! Heh heh.	`春原@「我没有那么高级的玩意儿啦，哈哈…」		equal-segment	same-scene-sequence
SEEN0414	802	pc-safe	`男子@「じゃあ、聴くなっ」	`Boy@Then don't listen at all!	`男生@「那就别听了」		anchor	same-scene-sequence
SEEN0414	804	pc-safe	`春原@「いや、でも、あれ聴かないと、調子出ないんだよね」	`Sunohara@But I can't get into the zone without it.	`春原@「啊，可是，不听那个的话，我会没有干劲啊」		anchor	same-scene-sequence
SEEN0414	820	pc-safe	`春原@「それに、結構、イカす音楽だと思うんだよね」	`Sunohara@Plus, I think the music's pretty cool, anyway.	`春原@「而且，那可是充满活力的音乐哦」		equal-segment	same-scene-sequence
SEEN0414	822	pc-safe	`男子@「………」	`Boy@...	`男生@「………」		equal-segment	same-scene-sequence
SEEN0414	838	pc-safe	`春原@「今度、歌詞とかちゃんと聴いてみてよ、イカしてるから」	`Sunohara@You should listen to the lyrics next time. They're totally cool.	`春原@「下次，你好好听听歌词看，好有活力的啦」		equal-segment	same-scene-sequence
SEEN0414	840	pc-safe	`男子@「イカしてるも何もねぇ…」	`Boy@I don't think you get it; I don't care if they're cool or not!	`男生@「什么活力不活力的…」		anchor	same-scene-sequence
SEEN0414	842	pc-safe	`男子@「こっちは、むかついてんだよぉっっ！」	`Boy@You need to understand how pissed off I am right now!	`男生@「我正好在生气，相当不爽哪！」		anchor	same-scene-sequence
SEEN0414	844	pc-safe	`男子@「次聞こえてきたら、叩き出すぞっ！」	`Boy@Seriously, if I hear you one more time, I'm kicking your ass straight out of here!	`男生@「要是再让我听到，小心把你打出去！」		anchor	same-scene-sequence
SEEN0414	860	pc-safe	バタンッ！	*Slam*	砰！		equal-segment	same-scene-sequence
SEEN0414	863	pc-safe	　	　	　			nonverbal-preserved
SEEN0414	879	pc-safe	`春原@「ひぃっ！」	`Sunohara@Eeek!	`春原@「嘿！」		equal-segment	same-scene-sequence
SEEN0414	895	pc-safe	`春原@「………」	`Sunohara@...	`春原@「………」		equal-segment	same-scene-sequence
SEEN0414	897	pc-safe	閉ざされたドアの前で、うなだれる春原。	Sunohara hangs his head, still standing in front of the now-closed door.	春原垂头丧气地站在关闭的门前。		equal-segment	same-scene-sequence
SEEN0414	899	pc-safe	`春原@「くそぅ…ラグビー部め…」	`Sunohara@Dammit... Stupid rugby players...	`春原@「妈的…橄榄球队的混蛋…」		anchor	same-scene-sequence
SEEN0414	901	pc-safe	そう小さく呟いた。	He mumbles the words under his breath.	小声嘟囔道。		equal-segment	same-scene-sequence
SEEN0414	903	pc-safe	`＊Ｂ@「んな声じゃ、聞こえないだろ」	`＊Ｂ@He won't be able to hear you like that, you know.	`＊Ｂ@「那么小的声音，他们听不到吧」		equal-segment	same-scene-sequence
SEEN0414	907	pc-safe	その背後に立ち、大きな声で言い直してやる。	Standing behind him, I repeat his words with a yell.	我站在他的背后，大声替他复述了一遍。		equal-segment	same-scene-sequence
SEEN0414	923	pc-safe	`春原@「ひぃぃっ！」	`Sunohara@Eeeeek!	`春原@「嘿──！」		equal-segment	same-scene-sequence
SEEN0414	925	pc-safe	春原は俺の頭を抱えると、自分の部屋へと引きずり込む。	Sunohara grabs my head and drags me into his room.	春原抱住我的头，把我拖进了他的房间。		equal-segment	same-scene-sequence
SEEN0414	946	pc-safe	廊下では、『今の誰だぁっ！』と怒声が響いていた。	I can hear angry yells of ❝Hey! Who was that?!❞ resonating from the hallway.	走廊里回响着『刚才是谁！』的怒吼声。		equal-segment	same-scene-sequence
SEEN0414	948	pc-safe	`春原@「はぁ…はぁ…」	`Sunohara@*Pant* *Pant*	`春原@「呼…呼…」		anchor	same-scene-sequence
SEEN0414	964	pc-safe	`春原@「僕を殺す気かっ！」	`Sunohara@Are you trying to get me killed?	`春原@「你想害死我吗！」		equal-segment	same-scene-sequence
SEEN0414	966	pc-safe	`＊Ｂ@「おまえが言ったんじゃないかよ」	`＊Ｂ@You're the one who said it.	`＊Ｂ@「那不是你自己说的话吗」		equal-segment	same-scene-sequence
SEEN0414	982	pc-safe	`春原@「あのさ、＊Ａ…」	`Sunohara@Listen, ＊Ａ...	`春原@「我说，＊Ａ…」		equal-segment	same-scene-sequence
