id	jp_text	en_text	zh_text	option_count	first_scene	first_code_index
64	悪戯をする$d放っておく	Time for a prank$dDo nothing	是时候恶作剧了$d无所事事	2	SEEN1009	0
65	立ち去る$d話しかけてみる	Just leave$dTry talking to her	走开$d试着跟她说话	2	SEEN1417	154
66	捕まえる$d逃がす	Gotta catch 'er$dLet her go	一定要抓住那个$d放开她	2	SEEN1418	89
67	立ち去る$dもう少し見ている	Leave$dI'll watch her just a bit more	离开$d我会多看她一眼	2	SEEN1418	643
68	どっかに置いておく$d持って帰る	Leave it somewhere$dTake it home	放在某个地方$d带回家去	2	SEEN1422	401
69	夕べ眠れずに泣いていたんだろ？$d四六時中も好きと言って$d余計なものなどないよね	You were up all night crying, right?$dTell me you love me 24/7$dThere is nothing unnecessary, right?	你整晚都在哭,对吧?$d告诉我你全天候爱我$d没有什么不必要的,对不对?	3	SEEN1423	618
70	力ずくで連れていく$d置いていく	Forcibly take her along$dJust leave her here	把她强行带走$d别管她了	2	SEEN1426	443
71	手伝うことにした$d退散することにした	Help her$dNot help her	帮帮她$d不帮她	2	SEEN1426	3089
72	わかった。付き合うよ$d俺のことも考えてくれ	All right. Count me in$dCould you think more about me?	好吧,我们走。 算我一个$d你能多想想我吗?	2	SEEN1426	3522
73	正直にそのことを告げる$d内緒にしておく	Tell her the truth$dDon't tell her the truth	告诉她真相$d别告诉她真相	2	SEEN1427	927
74	おもむろに鼻をつまむ$d大人しくしている	Slowly pinch her nose$dJust stay still	慢慢捏住她的鼻子$d别动	2	SEEN1427	1165
75	そうだな…$dいや…	I guess so...$dNo...	我想是这样...$d没有...	2	SEEN1427	1754
76	孫の手$d長寿箸$d鮭をくわえた熊	Back-scratching hand$dLongevity chopsticks$dCarving of a bear with a salmon in its mouth	后击手$d长寿筷子$d雕刻熊嘴里有鲑鱼	3	SEEN1428	5358
77	話し合いに参加させる$d一息いれる	Make her join in the conversation$dTake a break	让她加入对话$d休息一会	2	SEEN1428	7873
78	悪戯をする$dやめておく	Time for a prank$dLeave her alone	是时候恶作剧了$d放开她	2	SEEN1428	8309
79	渚についていく$dここに残る	Follow Nagisa$dStay here	跟着渚$d待在这里	2	SEEN1429	495
80	新校舎一階の廊下$d新校舎三階の廊下$d資料室	The corridor on the 1st floor of the new building$dThe corridor on the 3rd floor of the new building$dReference room	新大楼一楼的走廊$d新大楼三楼的走廊$d参考室	3	SEEN1430	377
81	肩を揉む$d鼻を揉む	Massage her shoulders$dMassage her nose	按摩她的肩膀$d给鼻子按摩	2	SEEN1430	4264
82	他を当たることにする$d無理を言う	Try another teacher$dKeep on pushing	试试别的老师$d继续推	2	SEEN1502	1733
83	ぐー$dちょき$dぱー	Rock$dScissors$dPaper	摇滚$d剪刀$d纸张	3	SEEN1503	2744
84	ぐー$dぱー	Rock$dPaper	摇滚$d纸张	2	SEEN1503	3112
85	オッサンに任せておく$d代わる	Leave it to the old man$dBe THE man	交给老家伙$d做个男人	2	SEEN1511	210
86	キスしていいか？$dこのままでいてもいいか？	Can I kiss you?$dCan we stay like this?	我能吻你吗?$d我们能这样吗?	2	SEEN1516	2134
87	このままでいてもいいか？$dとっととどいてくれ	Can we stay like this?$dJust get off me already	我们能这样吗?$d你快放开我	2	SEEN1516	2539
88	避難する$d成り行きを見守る	Escape$dWatch how things turn out	越狱$d看情况如何	2	SEEN2415	75
89	興味がある$d興味なし	I'm interested in this$dI'm not interested in this	我对这个感兴趣$d我不感兴趣	2	SEEN2415	356
90	見に行く$d教室に残る	Go and watch$dStay in the classroom	去看着$d待在教室里,别走	2	SEEN2417	188
91	引き受ける$d断る	Accept$dRefuse	接受$d拒绝	2	SEEN2418	370
92	蹴り返す$dよける	Kick him back$dDodge	踢他回来$d隐藏	2	SEEN2418	1428
93	助ける$d腕を振りほどく	Help her$dShake off her hand	帮帮她$d甩开她的手	2	SEEN2418	1869
94	もう、やめさせる$d放っておく	Have him stop it already$dLet him go	让他停止吧$d放开他	2	SEEN2419	308
95	声をかける$d無視	Say something$dIgnore her	说话呀$d别理她	2	SEEN2421	56
96	そうだな$dそうか？	I guess so$dIs that so	我想是这样$d是吗?	2	SEEN2421	794
97	辛抱する$d強引に食べる	I'll just be patient$dI eat it anyway	我会耐心的$d反正我也吃过	2	SEEN2421	1847
98	今、帰るところ$d黙秘	I'm on my way home$dStay silent	我马上回家$d保持安静	2	SEEN2422	125
99	迷惑だ$dいや、そういうのじゃなくて…	You are bothering me$dNo, it's not like that	你在烦我$d不,不是这样的	2	SEEN2422	613
100	もう、やめさせる$d春原と一緒に楽しむ	Have him stop it already$dHave fun together with Sunohara	让他停止吧$d玩得开心点春原	2	SEEN2422	3366
101	あいつが長く休んでいたことを$dあいつが演劇部を目指していたことを$dあいつがあんパンを食べていたことを	About how for a long time, she had to stop school$dAbout the fact that she's trying to reform the drama club$dAbout the fact that I saw her eating anpan	关于多久,她不得不停止上学$d关于她试图改革戏剧俱乐部的事实$d关于我看到她吃阿潘的事实	3	SEEN2423	5057
102	智代と居たいだけなのかもしれない$d退屈しのぎとして考えているのかもしれない	Perhaps I just want to be with Tomoyo$dPerhaps I just thought of her as a way to stave off boredom	也许我只是想在一起智代$d也许我只是把她当成一种 避免无聊的方法	2	SEEN2424	2215
103	キスにこだわる$d支度を始める	Fixate on just kissing$dStart getting ready	亲亲而已$d开始准备	2	SEEN2425	365
104	外で食べる$d学食で食べる	Let's eat outside$dLet's eat in the school cafeteria	我们出去吃饭吧$d在学校餐厅吃饭吧	2	SEEN2426	340
105	なら、その分、今…$dおまえも想像しろ	In that case, right here and now$dWhy don't you imagine those things too, then	这样的话,现在就在这里$d那你也想象一下这些	2	SEEN2502	280
106	エッチなこと$d柔軟体操	Something perverted$dSome gymnastics	变态的东西$d一些体操	2	SEEN2502	317
107	シミュレーションしてみる$dやめておく	Run a simulation$dLet's not	运行模拟$d我们不要	2	SEEN2503	286
108	ああ…たぶん$dいや…違う	Yeah... Probably$dNo... Probably not	对... 也许$d没有... 也许不是	2	SEEN2503	1405
109	度の過ぎた妄想をする$dじゃあな…と去る	Have a fantasy that exceeds all boundaries$dLeave for real	拥有超越一切境界的幻想$d离开真的	2	SEEN2504	228
110	このままでいいと思った$dこのままじゃいけないと思った	Think things are fine like this$dThink things can't go on like this	觉得这样很好$d以为事情不能这样下去	2	SEEN2505	94
111	黙って智代に任せる$d口出しする	Silently let Tomoyo handle this$dInterfere	悄悄地让智代处理这个$d间断	2	SEEN2506	1114
112	いい$dよくない	It's all right$dIt's not all right	没关系$d有点不对劲	2	SEEN2506	3379
113	手伝う$d断る	Help$dRefuse	帮助$d拒绝	2	SEEN2511	3934
114	謝っておく$dムシする	Apologize$dIgnore her	道歉$d别理她	2	SEEN3415	325
115	婆さんに声をかける$dそのまま通り過ぎる	Talk to the old lady$dJust keep walking	跟老太太说$d继续走	2	SEEN3416	67
116	追求してみる$d特に気にしない	Try pressing for details$dDon't worry about it	尝试按下细节$d别担心	2	SEEN3416	1102
117	おっぱい占い$dトランプ占い	She uses boobs$dShe uses playing cards	她用奶头$d她经常打牌	2	SEEN3418	1002
118	自分が占ってもらう$d春原を占わせる	Have her read my fortune$dLet Sunohara do it	让她读我的财富$d让春原动手	2	SEEN3418	2057
119	右に跳ぶ$d待ち構える$d左に跳ぶ	Jump right$dStay still and brace for impact$dJump left	右转$d别动,准备撞击$d左转	3	SEEN3421	34
120	杏に向かってボタンを投げる$dとりあえず持っていく	Throw Botan toward Kyou$dTake him for now	掷出牡丹走向杏$d先把他带走吧	2	SEEN3422	1716
121	逃げる$dついていく	Run$dFollow her	运行$d跟着她	2	SEEN3423	641
122	マジ？　いいのか？$dいや、もういらねぇ	Really? You will?$dNah, I don't want any more	真的吗? 你会吗?$d不,我不想再这样了	2	SEEN3424	3685
123	どこかで時間をつぶす$d素直に校門へ向かう	Kill time somewhere$dJust go to the school gate	在某个地方杀人$d去学校门口	2	SEEN3425	1124
124	友達$d恋人$d夫婦	Friends$dLovers$dMarried	朋友们$d爱人$d已婚	3	SEEN3425	3540
125	それでも良かったら…$dだから付き合うのは…	Let's give it a try$dIt'd honestly be difficult	试试看$d真的很难	2	SEEN3426	2834
126	このまま立ち去る$dとりあえず抱いて学校まで$d悲劇に酔いしれてみる	Just walk away$dBring him along to school$dAct like it's a tragedy	走开$d把他带到学校去$d装作是个悲剧	3	SEEN3428	122
127	長い髪が好き$d短い髪が好き	Long hair$dShort hair	长发$d短发	2	SEEN3428	1817
128	うまかったぞ…$dまずかったぞ…	It's good...$dIt's terrible...	这很好...$d这太可怕了...	2	SEEN3501	969
129	練習をしてみる$d黙って杏を見ている	Try practicing$dStay quiet and look at Kyou	尝试练习$d保持安静,看看杏	2	SEEN3503	2925
130	タンザナイト$dアメジスト	Tanzanite$dAmethyst	坦赞尼人$d亚美西斯特	2	SEEN3504	156
131	キスをする$dキスをしない	Kiss her$dDon't kiss her	亲她$d别亲她	2	SEEN3505	1922
132	飛び出す$d立ち去る	Run out$dWalk away	跑出来$d走开	2	SEEN3507	1438
133	食べる$d断る	Eat$dRefuse	吃饭$d拒绝	2	SEEN4415	450
134	ついていく$d一人でぶらつく	Follow her$dWander around alone	跟着她$d独自徘徊	2	SEEN4417	177
135	ページを切ってないか調べる$dどうでもいいので放っておく	Check for cut-up pages$dLeave it alone because I don't care	检查剪切页面$d别管它,因为我不在乎	2	SEEN4417	775
136	脅かしてやる$d隠れて様子を伺う	Surprise her$dHide and see what's up	给她个惊喜$d躲起来看看	2	SEEN4418	54
137	図書室に入る$d教室に戻る	Enter the library$dReturn to class	输入库$d返回课堂	2	SEEN4418	832
138	ページをめくる$d名前を呼ぶ$dほっぺたをつつく	Turn a page$dCall her name$dPoke her cheek	翻开一页$d叫她名字来$d戳她的脸颊	3	SEEN4418	972
139	名前を呼ぶ$dほっぺたをつつく	Call her name$dPoke her cheek	叫她名字来$d戳她的脸颊	2	SEEN4418	1006
140	ページをめくる$d名前を呼ぶ	Turn a page$dCall her name	翻开一页$d叫她名字来	2	SEEN4418	1057
141	放っておけない$dこれ以上関わりを持たない	I can't leave her alone$dI don't want to have anything to do with her	我不能丢下她一个人$d我不想和她有任何关系	2	SEEN4418	1681
142	これからはことみと食べる$d今まで通り渚と食べる	Start eating with Kotomi$dContinue eating with Nagisa as usual	开始吃饭琴美$d继续吃饭渚照旧	2	SEEN4418	2006
143	後を追って書店に入る$d放っておく	Follow her into the bookstore$dLeave her alone	跟着她去书店$d放开她	2	SEEN4419	64
144	ここで別れる$d家まで送ると申し出る	Part ways here$dOffer to walk her home	分道扬镳$d答应送她回家	2	SEEN4419	1034
145	図書室から立ち去る$dここにいていいか訊ねる	Leave the library$dAsk if it's all right to stay	离开图书馆$d问留下有何好处	2	SEEN4420	901
146	読む$d読まない	Read$dDon't read	读取$d不读书	2	SEEN4420	1185
147	『違う』と答える$dちょっとからかってみる	Deny it$dTease her a bit	拒绝$d把她租了一点	2	SEEN4421	3171
148	職員室に行ってみる$dもう少し待ってみる	Go to the teacher's office$dWait a little longer	去老师的办公室$d再等一会儿	2	SEEN4423	943
149	素直に待っている$dもちろん逃げる	Wait for her$dRun away as fast as possible	等着她$d越快越好,越快越好	2	SEEN4425	2488
150	このまま家にいる$d外出する	Stay at home$dGo outside	呆在家里别动$d出来	2	SEEN4429	93
151	様子を見る$dことみを助ける	Keep watching$dHelp Kotomi	继续看$d帮助琴美	2	SEEN4430	2591
152	ただの友人です$d今はまだ違いますが…	She's just a friend$dNot yet...	她只是一个朋友$d还没...	2	SEEN4503	359
153	邪魔者たちを追い払う$dこのままでもいいか…	Get rid of the others$dJust keep things the way they are	除掉其他人$d保持原样	2	SEEN4504	900
154	意地でも二人きりでデートする$d…もうこのままでいい	Force your way into a date with just Kotomi$dJust keep things the way they are	强迫你与一个约会琴美$d保持原样	2	SEEN4504	1177
155	告白する$dやめておく	Confess$dDon't do it	认罪$d别这样	2	SEEN4505	305
156	紳士の言葉を伝える$d今は黙っておく	Tell her what the gentleman said$dDon't tell her yet	告诉她那位先生说的话$d别告诉她	2	SEEN4505	1628
157	なぜそんなことを訊くんですか？$d付き合ってるというか…	Why ask something like that?$dWe're not really dating. It's more like...	为什么问这种事?$d我们不是真的约会。 这更像是...	2	SEEN4508	434
158	やめる$d続ける	Quit$dKeep going	退出$d继续	2	SEEN4510	396
159	「あきらめるしかない」と言う$d「あきらめるな」と言う	Tell them they have to give up$dTell them they can't give up	告诉他们他们必须放弃$d告诉他们他们不能放弃	2	SEEN4511	964
160	立ち去る$dもう少し話をする	Leave here$dTalk to her a bit more	离开这儿$d跟她多说几句	2	SEEN5418	807
161	寝ていく$d教室に戻る	Just sleep$dReturn to the classroom	睡觉$d回到教室来	2	SEEN5418	1263
162	杏$d椋$d智代	Kyou$dRyou$dTomoyo	杏$d椋$d智代	3	SEEN5422	1062
163	杏$d椋	Kyou$dRyou	杏$d椋	2	SEEN5422	2165
164	やる$dやらない	Try the spell$dDon't try the spell	试试咒语$d不要尝试咒语	2	SEEN5423	1226
165	試してみる$d春原にやる	Give it a try$dGive the coins to Sunohara	试试看$d把硬币交给我春原	2	SEEN5424	963
166	古河…$dではなく…	Furukawa...$dNot her...	古河. .  ....$d不是她,是她,是她吗?	2	SEEN5424	1469
167	風子…$dではなく…	Fuko...$dNot her...	风子. .  ....$d不是她,是她,是她吗?	2	SEEN5424	2917
168	智代…$dではなく…	Tomoyo...$dNot her...	智代. .  ....$d不是她,是她,是她吗?	2	SEEN5424	3106
169	杏…$dではなく…	Kyou...$dNot her...	杏. .  ....$d不是她,是她,是她吗?	2	SEEN5424	3817
170	起こす$dそのままにしておく	Wake her up$dLet her sleep	唤醒她$d让她睡吧	2	SEEN5430	6055
171	起こす$dこのまま寝かす	Wake her up$dLet her sleep	唤醒她$d让她睡吧	2	SEEN5430	10152
172	そうしたい$dそんなわけにはいかない	I would$dI couldn't possibly	我会$d我无法	2	SEEN6416	4170
173	色気$dイラスト$dコラボレーション	Sex appeal$dA drawing$dCollaboration	性吸引力$d一个绘图$d协作	3	SEEN6417	1790
174	どんな演劇をやるんですか？$dビラの絵はなんなんですか？$d好きな男のタイプは？	What kinda plays are we gonna do?$dWhat's that drawing on the fliers?$dWhat kind of guys are you into?	我们该怎么办?$d传单上画的是什么?$d你喜欢什么样的人?	3	SEEN6418	877
175	古河としばらく離れて歩く$d古河の手を引いて、走り抜ける	Get far away from Furukawa and keep walking$dGrab Furukawa's hand and run past him	远离古河继续走$d抓起来古河手和跑过他	2	SEEN6418	1640
176	様子を見に行く$d行かない	Go check on her$dStay	去检查她$d留下来	2	SEEN6419	1074
177	古河の具合は？$d早苗さんは？	How's Furukawa doing?$dWhat's up with Sanae-san?	怎么样古河干吗?$d或早苗-长官?	2	SEEN6420	116
178	急いで学食へ$d窓の外を見る	Hurry to the cafeteria$dLook out the window	快点去餐厅$d看着窗外	2	SEEN6421	275
179	代わりに談判してくる$dもう一度古河に行かせる	Go to negotiate in her place$dMake Furukawa go again	去代替她谈判$d制作古河再来一次	2	SEEN6421	1644
180	さらに頑張らせる$d代わりに行ってくる	Make her try again$dGo in her place	让她再试一次$d换个位置	2	SEEN6421	2140
181	智代に話しかける$d素通りする	Talk to Tomoyo$dWalk straight by her	说话智代$d直接走过去	2	SEEN6422	260
182	斬る$d盗む$d魔法	Slash$dSteal$dMagic	斜线$d偷窃$d魔术	3	SEEN6422	2762
183	風子に相談してみる$dもちろんやめる	Ask Fuko for help$dOf course I don't ask	询问风子请求帮助$d我当然不问	2	SEEN6422	3044
184	藤林姉妹に相談$d担任に相談	Talk to the Fujibayashi sisters$dTalk to a homeroom teacher	跟藤林姐妹们谈谈$d跟老师说	2	SEEN6422	3209
185	ああ$d違う	Yeah$dNo	对$d没有	2	SEEN6423	968
186	多分、そうなのだろう$d違う	She probably is$dNo	她也许$d没有	2	SEEN6423	2242
187	そのままでいる$d抱きしめる	Stay like this$dEmbrace her	像这样$d拥抱她	2	SEEN6424	1520
188	先を急ぐ$d訊いてみる	Rush ahead$dAsk them what's wrong	前进$d问他们怎么了	2	SEEN6426	1330
189	探す$d月曜にする	Look around$dWait until Monday	环顾四周$d等到星期一再说	2	SEEN6426	3075
190	幸村をメンバーに入れる$d入れない	Get Koumura to join$dDon't	获取幸村准备加入$d别	2	SEEN6426	3121
191	ああ$dひとりで行ってくれ	Sure$dPlease go alone this time	当然$d这次请自己去	2	SEEN6426	5040
192	客だ$d手伝いだ	I'm a customer$dI'm helping out	我是顾客$d我在帮忙	2	SEEN6427	281
193	渚の肩を抱く$d我慢する	Put your arm around Nagisa's shoulder$dHold off	把手举起来渚双肩$d慢着	2	SEEN6427	1810
194	練習させる$d芽衣ちゃんと遊ばせる	Make her practice$dHave her play with Mei-chan	让她练习$d让她玩芽衣-陈	2	SEEN6428	1486
195	新校舎で探す$d旧校舎で探す	Search the new school building$dSearch the old school building	搜索新教学楼$d搜索旧校舍	2	SEEN6428	1896
196	二階を探す$d三階を探す	Look around the second floor$dLook around the third floor	环顾二楼$d环顾三楼	2	SEEN6428	1903
197	いける$dもう一度よく考えてみる	She'll work$dReally think about it one more time	她会工作的$d再考虑一次	2	SEEN6428	2525
198	運動不足の解消$d馬鹿のやり収め$d俺たちに貸しを作る	Making up for a lack of exercise$dOne last chance to have stupid fun$dGetting us to owe you one	弥补缺乏锻炼$d最后的机会,有愚蠢的乐趣$d让我们欠你一个人情	3	SEEN6428	3737
199	説明する$dめんどくさいな…	Explain$dWhat a pain...	解释$d真烦人...	2	SEEN6428	4809
200	頼む、メンバーになってくれ$d別に無理はしなくていいぞ	Join our team, please$dThere's no need to push yourself like that	请加入我们的队伍$d没必要那样逼自己	2	SEEN6428	6967
201	空き教室を探す$d資料室を探す	Search the empty classrooms$dSearch the reference room	搜索空教室$d搜索参考室	2	SEEN6428	7440
202	いい$d考え直す	Sure$dReconsider	当然$d重新审议	2	SEEN6428	8875
203	頼む$d頼まない	Ask her$dDon't ask her	问她$d别问她	2	SEEN6428	9537
204	美佐枝さんにする$dそれもやめる	Go with Misae-san$dDon't do that either	跟着美佐枝- 老师$d也别这样	2	SEEN6428	9871
205	練習する$d対策を練る	Practice$dFigure out a way around it	实践$d想办法绕过去	2	SEEN6428	11558
206	最後は智代に$d最後は俺に	Give Tomoyo the last shot$dI'll take the last shot	给智代最后一个镜头$d最后一枪我再打	2	SEEN6430	4092
207	最後は芳野祐介に$d最後は俺に	Give Yusuke Yoshino the last shot$dI'll take the last shot	给祐介芳野最后一个镜头$d最后一枪我再打	2	SEEN6430	5668
208	最後は美佐枝さんに$d最後は俺に	Give Misae-san the last shot$dI'll take the last shot	给美佐枝- 最后一枪$d最后一枪我再打	2	SEEN6430	7423
209	最後はオッサンに$d最後は俺に	Give him the last shot$dI'll take the last shot	给他最后一枪$d最后一枪我再打	2	SEEN6430	9652
210	最後は杏に$d最後は俺に	Let Kyou take the last shot$dI'll take the last shot	让杏最后一枪$d最后一枪我再打	2	SEEN6430	11482
211	プレゼントをする$dデートに誘う$d耳元で愛を囁き続ける	Giving her a present$dInviting her on a date$dWhispering sweet nothings into her ear	送给她礼物$d邀请她约会$d悄悄地把甜美的东西塞进她的耳朵	3	SEEN6501	2504
212	好き$d俺には渚がいる	I like her$dI have Nagisa	我喜欢她$d我见过渚	2	SEEN6502	2046
213	台本を奪う$d唇を奪う$d心を奪う	Steal her script$dSteal a kiss$dSteal her heart	偷她的剧本$d偷一个吻$d偷她的心脏	3	SEEN6510	224
214	あんたはいい父親だ$dあんたは父親としては失格だ	You're a good father$dYou're a failure as a father	你是个好父亲$d你是个失败的父亲	2	SEEN6511	318
215	叫ぶ$d黙って見ている	Yell$dWatch silently	喊叫声$d安静的看着	2	SEEN6511	2036
216	好きにさせる$dやめさせる	Let her do it$dStop her	让她来吧$d拦住她	2	SEEN6728	1224
