scene	code_index	source	jp_text	en_text	zh_text
SEEN1421	558	nonlexical-dialogue	`＊Ｂ@「＊Ａ」	`＊Ｂ@＊Ａ.	`＊Ｂ@「＊Ａ」
SEEN1421	598	nonlexical-dialogue	`＊Ｂ@（…７００？）	`＊Ｂ@(...Seven-hundred?)	`＊Ｂ@（…７００？）
SEEN1423	591	nonlexical-dialogue	`＊Ｂ@「…＊Ａ」	`＊Ｂ@...＊Ａ.	`＊Ｂ@「…＊Ａ」
SEEN1423	985	nonlexical-dialogue	`風子@「………」	`Fuko@...	`风子@「………」
SEEN1426	169	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	194	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	547	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	995	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	1021	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	1109	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	1181	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1426	2204	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	2817	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1426	2829	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1426	2971	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1426	3473	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	3497	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	3530	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1426	5017	nonlexical-dialogue	`＊Ｂ@（………）	`＊Ｂ@(...)	`＊Ｂ@（………）
SEEN1426	6393	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1427	755	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	761	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	1015	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	1033	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	1780	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	1904	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	2012	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1427	2194	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	2204	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1427	2246	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1428	502	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1428	1204	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1428	2158	nonlexical-dialogue	`％Ａ@「…？」	`％Ａ@...?	`％Ａ@「…？」
SEEN1428	6331	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1428	6349	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1428	7455	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1428	8249	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1429	954	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1429	1055	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1429	1144	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1429	2565	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1429	2806	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1430	111	nonlexical-dialogue	`％Ａ@「…？」	`％Ａ@...?	`％Ａ@「…？」
SEEN1430	5215	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1430	5385	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1430	5461	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1501	482	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1501	497	nonlexical-dialogue	`＊Ｂ@「５、	`＊Ｂ@5, 	`＊Ｂ@「５、
SEEN1501	505	nonlexical-dialogue	`＊Ｂ@「２…」	`＊Ｂ@2...	`＊Ｂ@「２…」
SEEN1501	507	nonlexical-dialogue	`＊Ｂ@「…１」	`＊Ｂ@...1.	`＊Ｂ@「…１」
SEEN1501	2006	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1501	2435	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1501	2651	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1502	705	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1503	461	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1503	1375	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1503	2221	nonlexical-dialogue	`＊Ｂ@「％Ａ」	`＊Ｂ@％Ａ.	`＊Ｂ@「％Ａ」
SEEN1503	2321	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1503	2547	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1503	2579	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1503	2683	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1503	4479	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1504	288	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1506	681	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1506	1199	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1507	269	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1507	396	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1507	444	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1507	636	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1507	662	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1507	744	nonlexical-dialogue	`＊Ｂ@「＊Ａ」	`＊Ｂ@＊Ａ.	`＊Ｂ@「＊Ａ」
SEEN1511	1056	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1511	2066	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1511	2088	nonlexical-dialogue	`＊Ｂ@「％Ａ…」	`＊Ｂ@％Ａ...	`＊Ｂ@「％Ａ…」
SEEN1511	2112	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1511	2204	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1511	2869	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1511	3430	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1511	4196	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1511	4200	nonlexical-dialogue	`＊Ｂ@「％Ａ…」	`＊Ｂ@％Ａ...	`＊Ｂ@「％Ａ…」
SEEN1511	4276	nonlexical-dialogue	`＊Ｂ@「％Ａ…？」	`＊Ｂ@％Ａ...?	`＊Ｂ@「％Ａ…？」
SEEN1513	734	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1513	893	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1513	1049	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1513	1055	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1513	1143	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1514	645	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1514	839	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1514	1185	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1514	1293	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1514	1553	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1514	1573	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1514	1595	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1515	349	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1515	657	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1515	916	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1515	1259	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1515	1269	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1516	318	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1516	1130	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1516	1650	nonlexical-dialogue	`＊Ｂ@「％Ａ…」	`＊Ｂ@％Ａ...	`＊Ｂ@「％Ａ…」
SEEN1516	1694	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1516	1714	nonlexical-dialogue	`％Ａ@「………」	`％Ａ@...	`％Ａ@「………」
SEEN1516	2377	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1516	2403	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1516	3407	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1517	228	nonlexical-dialogue	`＊Ｂ@「％Ａ…」	`＊Ｂ@％Ａ...	`＊Ｂ@「％Ａ…」
SEEN1517	433	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1517	737	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1518	582	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN1518	1750	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2415	321	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@Ah...	`＊Ｂ@「………」
SEEN2417	19	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2417	1275	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2417	2671	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2417	2757	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2417	3245	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2421	120	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2421	1844	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2421	2097	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2422	3473	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2422	4343	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2423	378	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2423	4740	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2424	3429	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2424	3657	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2424	3677	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2425	71	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2425	1668	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2426	218	nonlexical-dialogue	`＊Ｂ@（………）	`＊Ｂ@(...)	`＊Ｂ@（………）
SEEN2426	1179	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2426	1191	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2428	487	nonlexical-dialogue	`＊Ｂ@（………）	`＊Ｂ@(...)	`＊Ｂ@（………）
SEEN2430	105	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2501	309	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2501	477	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2501	1221	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2501	1239	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2501	1253	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2501	1400	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2502	1543	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2502	1636	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2502	1841	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2502	1861	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2503	1061	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2503	1115	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2503	1261	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2503	1374	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2503	1631	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2505	443	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2505	627	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2506	69	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2506	731	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	172	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	285	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	291	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	372	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	499	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	517	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	521	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	531	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	549	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2508	569	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
SEEN2510	256	nonlexical-dialogue	`＊Ｂ@「………」	`＊Ｂ@...	`＊Ｂ@「………」
