scene	code_index	missing	jp_text	zh_text	source
SEEN6417	1462	＊Ａ	`古河@「そんなことないです。＊Ａさん、背、高くて、かっこいいですから…」	`古河@「不会的。你长得很高，又很英俊…」	pc-safe:same-scene-sequence
SEEN6419	2249	＊Ａ	`＊Ｂ@「いや、普通に＊Ａと書いて＊Ａっす」	`＊Ｂ@「不，我没有绰号的」	pc-safe:same-scene-sequence
SEEN6421	1070	$S065|$SU000	$S065$SU000だんご大家族が…	学校里…（完）全被…	pc-safe:same-scene-sequence
SEEN6802_1	3438	％Ｄ	俺は気恥ずかしくなって、％Ｄの隣に佇んでいた女の子に視線を移す。	感到有点害羞，把视线移到了伊吹老师身旁的女孩身上。	pc-safe:alias-unique
SEEN6802_1	3728	％Ｄ	％Ｄに抱かれたままの汐を紹介した。	顺便介绍了还在伊吹老师怀里的汐。	pc-safe:alias-unique
SEEN6802_1	3828	％Ｄ	％Ｄは一度汐を降ろし、代わって風子という子がそれを抱き上げた。	伊吹老师刚把汐放下，风子马上就又把她抱了起来。	pc-safe:alias-unique
SEEN6811	4278	＊Ａ	`＊Ｂ@「俺、＊Ａだけど」	`＊Ｂ@「是我，＊Ｂ」	pc-safe:alias-unique
SEEN6811	4350	＊Ｂ	`渚@「＊Ｂくん、どうしましたか」	`渚@「＊Ａ君，怎么了？」	pc-safe:between-anchors-unique-exact
SEEN6811	9187	＊Ａ	ああ…渚はこの店長に『＊Ａくん』と呼ばれているのか。	哦……店长是用『渚君』来称呼渚的啊。	pc-safe:alias-unique
SEEN7601	10787	$S065	$S065どぉんっ！	咚！	pc-safe:global-exact-unique
SEEN7601	10889	$S065	$S065どぉんっ！	咚！	pc-safe:global-exact-unique
