scene	code_index	pc_scene	pc_select_index	jp_text	zh_text	match
SEEN0420	505	SEEN0420	1	漫画を探す$d遊んでみる	找别的漫画看$d玩玩看	global-jp-exact
SEEN0421	94	SEEN0421	0	真面目に起きていく$d遅刻していく	认认真真地起床上学$d迟点再去吧	global-jp-exact
SEEN0422	208	SEEN0422	0	こんにちは、と言え$d俺を見つけるリアクションから入れ$dまず自己紹介しろ	问候说：你好$d先摆出一副找到了我的样子$d先作自我介绍	global-jp-duplicate-same-zh
SEEN0422	1405	SEEN0422	1	手伝う$d手伝わない	帮忙$d不帮忙	global-jp-duplicate-same-zh
SEEN0422	1837	SEEN0422	1	手伝う$d手伝わない	帮忙$d不帮忙	global-jp-duplicate-same-zh
SEEN0423	374	SEEN0422	0	こんにちは、と言え$d俺を見つけるリアクションから入れ$dまず自己紹介しろ	问候说：你好$d先摆出一副找到了我的样子$d先作自我介绍	global-jp-duplicate-same-zh
SEEN0423	939	SEEN0423	2	ホームで離ればなれになる恋人のように$d命を捨てて地球を救う宇宙飛行士のように$d回想シーンだけで数巻にも及ぶ漫画のように	就像在站台分别的恋人那样$d就像牺牲生命拯救了地球的宇航员那样$d就像被回想场面占掉了好几卷的漫画那样	global-jp-exact
SEEN0423	1202	SEEN0423	3	ああ$d悪いが、違う	啊$d对不起，不是	global-jp-exact
SEEN0423	1587	SEEN0423	5	呼び止める$d放っておく	叫住她$d不管她	global-jp-duplicate-same-zh
SEEN0423	2911	SEEN0423	6	代わりに出る$d出ない	代春原接听$d不代他接听	global-jp-exact
SEEN0424	2304	SEEN0424	1	逃げる$d引き受ける	逃掉$d受理	global-jp-exact
SEEN0425	1367	SEEN0425	1	引き金を引いていた$d忠告をしていた	抠下了扳机$d提出了忠告	global-jp-exact
SEEN0425	2634	SEEN0425	2	勝負はあくまで冷徹に$d可哀想だから止めてやる	比赛时要彻底地冷酷$d真可怜，去阻止春原吧	global-jp-exact
SEEN0425	3552	SEEN0425	3	ふたりで学食で食べる$d春原に買いに行かせる$d食べない	两个人一起去食堂吃饭$d让春原去买饭$d不吃午饭	global-jp-exact
SEEN0425	4160	SEEN0425	4	グラウンド$d体育館$d職員室	操场$d体育馆$d办公室	global-jp-exact
SEEN0425	4464	SEEN0425	5	グラウンド$d職員室	操场$d办公室	global-jp-exact
SEEN0425	4684	SEEN0425	6	グラウンド$d体育館	操场$d体育馆	global-jp-exact
SEEN0428	1705	SEEN0428	0	いける$d却下	能行$d否决	global-jp-exact
SEEN0428	2501	SEEN0428	1	止める$d放っておく	阻止他$d看着不管	global-jp-exact
SEEN0428	3530	SEEN0428	2	一芝居打つ$d見送る	骗他加入$d目送	global-jp-exact
SEEN0555	26	SEEN0555	0	告白する$d見送る	向她表白$d目送她离去	global-jp-duplicate-same-zh
SEEN0555	45	SEEN0555	1	告白する$d様子見する	向她表白$d偷偷注视着她	global-jp-exact
SEEN0555	64	SEEN0555	0	告白する$d見送る	向她表白$d目送她离去	global-jp-duplicate-same-zh
SEEN0555	97	SEEN0555	3	振り払う$d抱きしめる	挣脱她$d拥抱她	global-jp-exact
SEEN0555	131	SEEN0555	4	スティーブといく$dひとりでいく	跟史蒂夫一起走$d自己一个人走	global-jp-exact
SEEN0555	160	SEEN0555	5	スティーブに任せる$d自分で戦う	这里交给史蒂夫$d自己亲自战斗	global-jp-exact
SEEN0555	191	SEEN0555	6	開ける$d無視	打开$d不打开	global-jp-exact
SEEN0555	202	SEEN0555	7	真っ直ぐ進む$d左に$d右に	向前走$d向左走$d向右走	global-jp-exact
SEEN0555	260	SEEN0555	8	抱きしめる$d振り払う	拥抱他$d挣脱他	global-jp-exact
SEEN0555	296	SEEN0555	9	一緒にいく$d振り払う	一起行动$d挣脱她	global-jp-exact
SEEN0555	425	SEEN0555	10	リトライ$dもうやめる	再挑战一次$d放弃了	global-jp-exact
SEEN1001	0	SEEN1001	0	暇だから、鼻からジュースを飲ませてみる$d待ち続ける	太无聊了，让她用鼻子喝果汁玩玩$d一直等下去	global-jp-exact
SEEN1002	0	SEEN1002	0	悪戯をする$d待ち続ける	恶作剧$d耐心等下去	global-jp-exact
SEEN1003	138	SEEN1003	0	悪戯をする$d置いていく	恶作剧$d不去管她	global-jp-duplicate-same-zh
SEEN1004	680	SEEN1003	0	悪戯をする$d置いていく	恶作剧$d不去管她	global-jp-duplicate-same-zh
SEEN1009	0	SEEN1009	0	悪戯をする$d放っておく	恶作剧$d不去管她	global-jp-exact
SEEN1417	154	SEEN1417	0	立ち去る$d話しかけてみる	离开$d向她搭话	global-jp-exact
SEEN1418	89	SEEN1418	0	捕まえる$d逃がす	抓住她$d放走她	global-jp-exact
SEEN1418	643	SEEN1418	1	立ち去る$dもう少し見ている	离开$d再看一会	global-jp-exact
SEEN1422	401	SEEN1422	0	どっかに置いておく$d持って帰る	把它丢掉$d带回家去	global-jp-exact
SEEN1423	618	SEEN1423	0	夕べ眠れずに泣いていたんだろ？$d四六時中も好きと言って$d余計なものなどないよね	昨晚又哭了一夜吧？$d一天二十四小时连着说我爱你$d没有什么多余的东西吧	global-jp-exact
SEEN1426	443	SEEN1426	0	力ずくで連れていく$d置いていく	把她硬拉去$d把她留在这里	global-jp-exact
SEEN1426	3089	SEEN1426	1	手伝うことにした$d退散することにした	决定帮助她$d决定全身而退	global-jp-exact
SEEN1426	3522	SEEN1426	2	わかった。付き合うよ$d俺のことも考えてくれ	好吧，我陪着你$d你也为我考虑一下嘛	global-jp-exact
SEEN1427	1165	SEEN1427	1	おもむろに鼻をつまむ$d大人しくしている	慢慢掐住她的鼻子$d老老实实待着	global-jp-exact
SEEN1427	1754	SEEN1427	2	そうだな…$dいや…	是啊…$d不…	global-jp-exact
SEEN1428	5358	SEEN1428	0	孫の手$d長寿箸$d鮭をくわえた熊	不求人$d长寿筷$d叼着鱼的熊	global-jp-exact
SEEN1428	8309	SEEN1428	2	悪戯をする$dやめておく	恶作剧$d算了	global-jp-exact
SEEN1429	495	SEEN1429	0	渚についていく$dここに残る	跟着渚一起去$d留在这里	global-jp-exact
SEEN1430	377	SEEN1430	0	新校舎一階の廊下$d新校舎三階の廊下$d資料室	新校舍的一楼走廊$d新校舍的三楼走廊$d资料室	global-jp-exact
SEEN1430	4264	SEEN1430	1	肩を揉む$d鼻を揉む	揉肩膀$d揉鼻子	global-jp-exact
SEEN1502	1733	SEEN1502	0	他を当たることにする$d無理を言う	去找别人$d继续说服	global-jp-exact
SEEN1503	2744	SEEN1503	0	ぐー$dちょき$dぱー	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	2870	SEEN1503	0	ぐー$dちょき$dぱー	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	3034	SEEN1503	0	ぐー$dちょき$dぱー	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	3112	SEEN1503	3	ぐー$dぱー	石头$d布	global-jp-exact
SEEN1503	3222	SEEN1503	0	ぐー$dちょき$dぱー	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	3444	SEEN1503	3	ぐー$dぱー	石头$d布	global-jp-exact
SEEN1511	210	SEEN1511	0	オッサンに任せておく$d代わる	交给大叔$d接替他	global-jp-exact
SEEN1516	2134	SEEN1516	0	キスしていいか？$dこのままでいてもいいか？	可以接吻吗？$d可以继续这么待着吗？	global-jp-exact
SEEN1516	2539	SEEN1516	1	このままでいてもいいか？$dとっととどいてくれ	可以继续这么待着吗？$d快点给我闪开	global-jp-exact
SEEN2415	75	SEEN2415	0	避難する$d成り行きを見守る	出去避难$d继续看下去	global-jp-exact
SEEN2415	356	SEEN2415	1	興味がある$d興味なし	我对此也颇感兴趣$d我对此毫无兴趣	global-jp-exact
SEEN2417	188	SEEN2417	0	見に行く$d教室に残る	跟去看看$d留在教室里	global-jp-exact
SEEN2418	370	SEEN2418	0	引き受ける$d断る	接受$d拒绝	global-jp-exact
SEEN2418	1869	SEEN2418	2	助ける$d腕を振りほどく	帮忙$d甩开她的手	global-jp-exact
SEEN2419	308	SEEN2419	0	もう、やめさせる$d放っておく	劝他放弃$d不管他	global-jp-exact
SEEN2421	56	SEEN2421	0	声をかける$d無視	打招呼$d不理她	global-jp-exact
SEEN2421	794	SEEN2421	1	そうだな$dそうか？	的确不错$d是这样吗？	global-jp-exact
SEEN2421	1847	SEEN2421	2	辛抱する$d強引に食べる	忍耐$d硬要吃	global-jp-exact
SEEN2422	125	SEEN2422	0	今、帰るところ$d黙秘	现在正准备回去$d沉默	global-jp-exact
SEEN2422	613	SEEN2422	1	迷惑だ$dいや、そういうのじゃなくて…	添麻烦了$d不，不是这个意思…	global-jp-exact
SEEN2422	3366	SEEN2422	2	もう、やめさせる$d春原と一緒に楽しむ	该阻止他了$d和春原一起享受	global-jp-exact
SEEN2423	5057	SEEN2423	0	あいつが長く休んでいたことを$dあいつが演劇部を目指していたことを$dあいつがあんパンを食べていたことを	那家伙休学了很长时间$d那家伙以话剧社为目标$d那家伙吃过豆沙面包	global-jp-exact
SEEN2424	2215	SEEN2424	0	智代と居たいだけなのかもしれない$d退屈しのぎとして考えているのかもしれない	说不定只是想和智代在一起$d说不定只是把她当作能够解闷的人罢了	global-jp-exact
SEEN2425	365	SEEN2425	0	キスにこだわる$d支度を始める	坚持要求接吻$d开始准备	global-jp-exact
SEEN2426	340	SEEN2426	0	外で食べる$d学食で食べる	去外面吃$d在食堂里吃	global-jp-exact
SEEN2502	280	SEEN2502	0	なら、その分、今…$dおまえも想像しろ	那么，不如现在…$d那你也想象一下嘛	global-jp-exact
SEEN2502	317	SEEN2502	1	エッチなこと$d柔軟体操	做色色的事情$d做柔软体操	global-jp-exact
SEEN2503	286	SEEN2503	0	シミュレーションしてみる$dやめておく	幻想一下$d算了吧	global-jp-duplicate-same-zh
SEEN2503	730	SEEN2503	0	シミュレーションしてみる$dやめておく	幻想一下$d算了吧	global-jp-duplicate-same-zh
SEEN2503	1405	SEEN2503	2	ああ…たぶん$dいや…違う	嗯…差不多吧$d不…不是这样	global-jp-exact
SEEN2504	228	SEEN2504	0	度の過ぎた妄想をする$dじゃあな…と去る	开始过分的妄想$d说再见然后离开	global-jp-exact
SEEN2505	94	SEEN2505	0	このままでいいと思った$dこのままじゃいけないと思った	就这样继续下去吧$d这样下去是不行的	global-jp-exact
SEEN2506	1114	SEEN2506	0	黙って智代に任せる$d口出しする	保持沉默，交给智代处理$d插嘴说话	global-jp-exact
SEEN2511	3934	SEEN2511	1	手伝う$d断る	帮忙$d拒绝	global-jp-duplicate-same-zh
SEEN3415	325	SEEN3415	0	謝っておく$dムシする	道歉$d无视	global-jp-exact
SEEN3416	67	SEEN3416	0	婆さんに声をかける$dそのまま通り過ぎる	和老婆婆打个招呼$d就这样走过去	global-jp-exact
SEEN3416	1102	SEEN3416	1	追求してみる$d特に気にしない	试着追问下去$d没什么好介意的	global-jp-exact
SEEN3418	1002	SEEN3418	0	おっぱい占い$dトランプ占い	胸脯占卜$d扑克占卜	global-jp-exact
SEEN3418	2057	SEEN3418	1	自分が占ってもらう$d春原を占わせる	自己去占卜$d让春原去占卜	global-jp-exact
SEEN3421	34	SEEN3421	0	右に跳ぶ$d待ち構える$d左に跳ぶ	向右跳$d站稳等着它$d向左跳	global-jp-exact
SEEN3422	1716	SEEN3422	0	杏に向かってボタンを投げる$dとりあえず持っていく	把牡丹丢还给杏$d拿回去好了	global-jp-exact
SEEN3423	641	SEEN3423	0	逃げる$dついていく	逃跑$d跟着去	global-jp-exact
SEEN3425	1124	SEEN3425	0	どこかで時間をつぶす$d素直に校門へ向かう	找个地方消磨时间$d老老实实地去校门口	global-jp-exact
SEEN3425	3540	SEEN3425	1	友達$d恋人$d夫婦	朋友$d恋人$d夫妇	global-jp-duplicate-same-zh
SEEN3426	2834	SEEN3426	0	それでも良かったら…$dだから付き合うのは…	如果这样也没关系的话…$d所以交往的事还是…	global-jp-exact
SEEN3428	122	SEEN3428	0	このまま立ち去る$dとりあえず抱いて学校まで$d悲劇に酔いしれてみる	就这样离开$d还是抱到学校去吧$d把这当作悲剧来演	global-jp-exact
SEEN3428	1817	SEEN3428	1	長い髪が好き$d短い髪が好き	喜欢长头发$d喜欢短头发	global-jp-exact
SEEN3501	969	SEEN3501	0	うまかったぞ…$dまずかったぞ…	很好吃啊…$d很难吃啊…	global-jp-exact
SEEN3503	2925	SEEN3503	0	練習をしてみる$d黙って杏を見ている	练习试试看$d默不作声地看着杏	global-jp-exact
SEEN3504	156	SEEN3504	0	タンザナイト$dアメジスト	坦桑蓝$d紫水晶	global-jp-exact
SEEN3505	1609	SEEN3425	1	友達$d恋人$d夫婦	朋友$d恋人$d夫妇	global-jp-duplicate-same-zh
SEEN3505	1922	SEEN3505	1	キスをする$dキスをしない	接吻$d不接吻	global-jp-exact
SEEN3507	1438	SEEN3507	0	飛び出す$d立ち去る	飞奔出去$d走开	global-jp-exact
SEEN4415	450	SEEN4415	0	食べる$d断る	接受$d谢绝	global-jp-exact
SEEN4417	177	SEEN4417	0	ついていく$d一人でぶらつく	跟着她去$d自己闲逛	global-jp-exact
SEEN4417	775	SEEN4417	1	ページを切ってないか調べる$dどうでもいいので放っておく	看看这些书有没有被剪过$d无所谓，不去管它	global-jp-exact
SEEN4418	54	SEEN4418	0	脅かしてやる$d隠れて様子を伺う	吓她一下$d藏起来看看再说	global-jp-exact
SEEN4418	972	SEEN4418	2	ページをめくる$d名前を呼ぶ$dほっぺたをつつく	翻页$d叫名字$d捅脸蛋	global-jp-exact
SEEN4418	1006	SEEN4418	3	名前を呼ぶ$dほっぺたをつつく	叫名字$d捅脸蛋	global-jp-exact
SEEN4418	1057	SEEN4418	4	ページをめくる$d名前を呼ぶ	翻页$d叫名字	global-jp-exact
SEEN4418	1681	SEEN4418	5	放っておけない$dこれ以上関わりを持たない	不能就这样不理她$d不想扯上更多的关系了	global-jp-exact
SEEN4418	2006	SEEN4418	6	これからはことみと食べる$d今まで通り渚と食べる	以后在这里和琴美一起吃$d和之前一样，同渚一起吃	global-jp-exact
SEEN4419	64	SEEN4419	0	後を追って書店に入る$d放っておく	跟在她身后进入书店$d不管她	global-jp-exact
SEEN4421	3171	SEEN4421	0	『違う』と答える$dちょっとからかってみる	回答说「不是」$d试着捉弄她一下	global-jp-exact
SEEN4423	943	SEEN4423	0	職員室に行ってみる$dもう少し待ってみる	去办公室看看$d再稍微等一下	global-jp-exact
SEEN4425	2488	SEEN4425	0	素直に待っている$dもちろん逃げる	老老实实等着$d没得说，逃	global-jp-exact
SEEN4430	2591	SEEN4430	0	様子を見る$dことみを助ける	观察情况$d帮助琴美	global-jp-exact
SEEN4503	359	SEEN4503	0	ただの友人です$d今はまだ違いますが…	只是朋友而已$d现在还不是那样……	global-jp-exact
SEEN4504	900	SEEN4504	0	邪魔者たちを追い払う$dこのままでもいいか…	赶走捣乱的家伙们$d算了，这样也好……	global-jp-exact
SEEN4504	1177	SEEN4504	1	意地でも二人きりでデートする$d…もうこのままでいい	好歹这也是两个人的约会啊。$d……算了，就这样吧。	global-jp-exact
SEEN4505	305	SEEN4505	0	告白する$dやめておく	告白$d算了	global-jp-exact
SEEN4505	1628	SEEN4505	1	紳士の言葉を伝える$d今は黙っておく	把男士的话转达给琴美$d闭口不提	global-jp-exact
SEEN4508	434	SEEN4508	0	なぜそんなことを訊くんですか？$d付き合ってるというか…	为什么要问这种问题？$d我们算是正在交往吗……	global-jp-exact
SEEN4511	964	SEEN4511	0	「あきらめるしかない」と言う$d「あきらめるな」と言う	说「只好放弃」$d说「不要放弃」	global-jp-exact
SEEN5418	807	SEEN5418	0	立ち去る$dもう少し話をする	离开$d再说几句话	global-jp-exact
SEEN5418	1263	SEEN5418	1	寝ていく$d教室に戻る	睡觉$d回教室	global-jp-exact
SEEN5422	122	SEEN0416	1	行く$d行かない	去$d不去	global-jp-duplicate-same-zh
SEEN5422	1062	SEEN5422	1	杏$d椋$d智代	杏$d椋$d智代	global-jp-exact
SEEN5422	2165	SEEN5422	2	杏$d椋	杏$d椋	global-jp-exact
SEEN5423	1226	SEEN5423	0	やる$dやらない	试试看$d不干	global-jp-exact
SEEN5424	963	SEEN5424	1	試してみる$d春原にやる	试试看$d给春原	global-jp-exact
SEEN5424	1469	SEEN5424	2	古河…$dではなく…	古河…$d不是古河…	global-jp-exact
SEEN5424	2917	SEEN5424	3	風子…$dではなく…	风子…$d不是…	global-jp-exact
SEEN5424	3106	SEEN5424	4	智代…$dではなく…	智代…$d不是…	global-jp-exact
SEEN5424	3817	SEEN5424	5	杏…$dではなく…	杏…$d不是…	global-jp-exact
SEEN5430	6055	SEEN5430	0	起こす$dそのままにしておく	叫醒她$d就这样吧	global-jp-exact
SEEN5430	10152	SEEN5430	2	起こす$dこのまま寝かす	叫醒她$d让她继续睡下去	global-jp-exact
SEEN6416	4170	SEEN6416	0	そうしたい$dそんなわけにはいかない	想那样做$d怎么可以那样	global-jp-exact
SEEN6417	1790	SEEN6417	0	色気$dイラスト$dコラボレーション	诱惑力$d插图$d合作伙伴	global-jp-exact
SEEN6418	877	SEEN6418	0	どんな演劇をやるんですか？$dビラの絵はなんなんですか？$d好きな男のタイプは？	会演怎样的话剧呢？$d海报上画的是什么东西？$d你喜欢哪种类型的男生？	global-jp-exact
SEEN6418	1640	SEEN6418	1	古河としばらく離れて歩く$d古河の手を引いて、走り抜ける	和古河拉开点距离走$d拉着古河的手，快步跑掉	global-jp-exact
SEEN6419	1074	SEEN6419	0	様子を見に行く$d行かない	去看看情况$d不出去	global-jp-exact
SEEN6420	116	SEEN6420	0	古河の具合は？$d早苗さんは？	古河的身体状况怎么样？$d早苗呢？	global-jp-exact
SEEN6421	1644	SEEN6421	1	代わりに談判してくる$dもう一度古河に行かせる	代替她去谈判$d再让古河去一次	global-jp-exact
SEEN6422	2762	SEEN6422	1	斬る$d盗む$d魔法	斩杀$d偷窃$d魔法	global-jp-exact
SEEN6422	3044	SEEN6422	2	風子に相談してみる$dもちろんやめる	和风子商量一下$d当然不行了	global-jp-exact
SEEN6422	3209	SEEN6422	3	藤林姉妹に相談$d担任に相談	和藤林姐妹商量$d和班主任商量	global-jp-exact
SEEN6423	968	SEEN6423	0	ああ$d違う	是啊$d不是	global-jp-exact
SEEN6423	2242	SEEN6423	1	多分、そうなのだろう$d違う	大概是这样吧$d不是的	global-jp-exact
SEEN6423	2665	SEEN0423	5	呼び止める$d放っておく	叫住她$d不管她	global-jp-duplicate-same-zh
SEEN6424	1520	SEEN6424	1	そのままでいる$d抱きしめる	就这样注视着她$d紧紧抱住她	global-jp-exact
SEEN6426	3075	SEEN6426	1	探す$d月曜にする	去找找看$d等到星期一	global-jp-exact
SEEN6426	3121	SEEN6426	2	幸村をメンバーに入れる$d入れない	让幸村加入队伍$d不要他加入	global-jp-exact
SEEN6426	5040	SEEN6426	3	ああ$dひとりで行ってくれ	好的$d自己一个人去吧	global-jp-exact
SEEN6427	281	SEEN6427	0	客だ$d手伝いだ	来买面包$d来帮忙	global-jp-exact
SEEN6427	1810	SEEN6427	1	渚の肩を抱く$d我慢する	抱着渚的肩膀$d克制自己	global-jp-exact
SEEN6428	1486	SEEN6428	0	練習させる$d芽衣ちゃんと遊ばせる	让她练习$d让她和芽衣玩	global-jp-exact
SEEN6428	1896	SEEN6428	1	新校舎で探す$d旧校舎で探す	在新校舍寻找$d在旧校舍寻找	global-jp-exact
SEEN6428	1903	SEEN6428	2	二階を探す$d三階を探す	去二楼寻找$d去三楼寻找	global-jp-exact
SEEN6428	2525	SEEN6428	3	いける$dもう一度よく考えてみる	能行$d再考虑一下	global-jp-exact
SEEN6428	3737	SEEN6428	4	運動不足の解消$d馬鹿のやり収め$d俺たちに貸しを作る	避免运动不足$d最后做一次蠢事$d卖我们个人情	global-jp-exact
SEEN6428	4809	SEEN6428	5	説明する$dめんどくさいな…	说明$d但很麻烦啊…	global-jp-exact
SEEN6428	6967	SEEN6428	6	頼む、メンバーになってくれ$d別に無理はしなくていいぞ	拜托你了，请成为我们的一员吧$d不用特别勉强自己	global-jp-exact
SEEN6428	7440	SEEN6428	7	空き教室を探す$d資料室を探す	去空教室找找$d去资料室找找	global-jp-exact
SEEN6428	8875	SEEN6428	8	いい$d考え直す	可以$d再考虑一下	global-jp-exact
SEEN6428	9537	SEEN6428	9	頼む$d頼まない	邀请她$d不邀请她	global-jp-exact
SEEN6428	11558	SEEN6428	11	練習する$d対策を練る	练习$d想对策	global-jp-duplicate-same-zh
SEEN6428	11755	SEEN6428	11	練習する$d対策を練る	练习$d想对策	global-jp-duplicate-same-zh
SEEN6430	4092	SEEN6430	0	最後は智代に$d最後は俺に	最后一球给智代$d最后一球给我	global-jp-exact
SEEN6430	5668	SEEN6430	1	最後は芳野祐介に$d最後は俺に	最后一球给芳野佑介$d最后一球给我	global-jp-exact
SEEN6430	9652	SEEN6430	3	最後はオッサンに$d最後は俺に	最后一球传给大叔$d最后一球传给我	global-jp-exact
SEEN6430	11482	SEEN6430	4	最後は杏に$d最後は俺に	最后一球给杏$d最后一球给我	global-jp-exact
SEEN6501	2504	SEEN6501	0	プレゼントをする$dデートに誘う$d耳元で愛を囁き続ける	送礼物$d邀请她约会$d在耳边诉说爱意	global-jp-exact
SEEN6502	2046	SEEN6502	0	好き$d俺には渚がいる	喜欢$d我已经有渚了	global-jp-exact
SEEN6510	224	SEEN6510	0	台本を奪う$d唇を奪う$d心を奪う	夺走剧本$d夺走双唇$d夺走心	global-jp-exact
SEEN6511	318	SEEN6511	0	あんたはいい父親だ$dあんたは父親としては失格だ	你是个很棒的父亲$d你作为父亲真是失职	global-jp-exact
SEEN6511	2036	SEEN6511	1	叫ぶ$d黙って見ている	呼喊$d沉默地旁观	global-jp-exact
SEEN6728	1224	SEEN6728	0	好きにさせる$dやめさせる	随便她$d阻止她	global-jp-exact
SEEN6729	3356	SEEN6729	0	何のつもりなのか訊く$dもう一度頼む	问她到底怎么回事$d拜托再来一次	global-jp-exact
SEEN6800	8895	SEEN6800	0	自分を落ち着かせる$dばれなければいいと開き直る	自己冷静下来$d只要不暴露就没关系	global-jp-exact
SEEN6800_1	1787	SEEN6800	1	いい$dいや、言葉以外で…	可以$d不，还是言语以外……	global-jp-exact
SEEN6800_1	1990	SEEN6800	2	エッチなこととか…$dいや、言葉でいい	Ｈ的事情……$d算了，还是说话好	global-jp-exact
SEEN6800_1	4774	SEEN6800	3	誤解を解く$d好きに思わせておく	解开误会$d让他们去想象好了	global-jp-exact
SEEN6800_1	6073	SEEN6800	4	黙ってじっとしている$d拒否する	默不作声$d拒绝	global-jp-exact
SEEN6800_1	7182	SEEN6800	5	テレビを見る$dタンスを漁る	看电视$d翻柜子	global-jp-exact
SEEN6800_1	10013	SEEN6800	9	別にいいけど$d反対	倒也没什么$d反对	global-jp-exact
SEEN6800_2	4259	SEEN6800	10	ダメじゃなくて無理$d仕方がない…	不是不愿意，是根本就办不到$d真是拿你没办法啊……	global-jp-exact
SEEN6800_2	6022	SEEN6800	11	違う$d………。	不是的$d…………	global-jp-exact
SEEN6800_2	7898	SEEN6800	12	殴りつける$d堪える	打上去$d忍耐	global-jp-exact
SEEN6802_1	1098	SEEN6802	0	見に行く$dここで待つ	去看看$d在这里等	global-jp-exact
SEEN6803	100	SEEN6803	0	呼ぶ$d呼ばない	呼唤她$d保持沉默	global-jp-exact
SEEN6810	1425	SEEN6800	13	後ろから抱きつく$d大人しくテレビを見ている	从后面抱住她$d继续老实看电视	global-jp-exact
SEEN6810	1520	SEEN6800	14	もっと強く抱きしめてみる$d邪魔になるだろうから、このままでいる	抱得更紧一些$d会妨碍到她的吧，保持这样就好了	global-jp-exact
SEEN6810	1603	SEEN6800	15	調べてみる$dさすがにそれは失礼だ	调查一下$d这样做太失礼了	global-jp-exact
SEEN6810	3493	SEEN6800	16	オッサンの秘蔵エロ本$d早苗さんの下着$dいらない	大叔秘藏的Ａ书$d早苗阿姨的内衣$d都不要	global-jp-exact
SEEN6810	10497	SEEN6800	18	そろそろ止める$dさらに傍観	是时候制止了$d先看看再说吧	global-jp-exact
SEEN6810	11458	SEEN6800	19	気にしてる$d気にしていない	在意$d不在意	global-jp-exact
SEEN6811	6554	SEEN6800	20	協力する$d逃げ出す	帮忙$d偷跑	global-jp-exact
SEEN7000	2629	SEEN7000	0	好き$dそういうのではなくて…	喜欢$d不是那样的……	global-jp-exact
SEEN7100	78	SEEN7100	0	立ち去る$dもう少し様子を見ている	离开$d再看一会儿	global-jp-exact
SEEN7100	565	SEEN2511	1	手伝う$d断る	帮忙$d拒绝	global-jp-duplicate-same-zh
SEEN7102	75	SEEN7100	2	正直に答える$d適当にごまかす	说实话$d敷衍一下	global-jp-exact
SEEN7102	135	SEEN7100	3	チャンネルを替える$d歌う	换频道$d唱歌	global-jp-exact
SEEN7102	960	SEEN7100	4	同意する$dさらに続きを訊く	同意$d询问后情	global-jp-exact
SEEN7200	2121	SEEN7200	0	オッサンのこと$dエッチなこと	大叔的事$dＨ的事	global-jp-exact
