scene	code_index	jp_text	en_text	zh_text	source
SEEN0428	1705	いける$d却下	She'll work$dNo way	能行$d否决	global-jp-exact
SEEN0428	2501	止める$d放っておく	Stop him$dDo nothing	阻止他$d看着不管	global-jp-exact
SEEN0428	3530	一芝居打つ$d見送る	Put on an act$dWatch him leave	骗他加入$d目送	global-jp-exact
SEEN0555	26	告白する$d見送る	Confess$dWatch her walk away	向她表白$d目送她离去	global-jp-duplicate-same-zh
SEEN0555	45	告白する$d様子見する	Confess$dKeep watching	向她表白$d偷偷注视着她	global-jp-exact
SEEN0555	64	告白する$d見送る	Confess$dWatch her walk away	向她表白$d目送她离去	global-jp-duplicate-same-zh
SEEN0555	97	振り払う$d抱きしめる	Shake her off$dHug her	挣脱她$d拥抱她	global-jp-exact
SEEN0555	131	スティーブといく$dひとりでいく	Go with Steve$dGo by yourself	跟史蒂夫一起走$d自己一个人走	global-jp-exact
SEEN0555	160	スティーブに任せる$d自分で戦う	Leave it to Steve$dFight on your own	这里交给史蒂夫$d自己亲自战斗	global-jp-exact
SEEN0555	191	開ける$d無視	Open it$dIgnore it	打开$d不打开	global-jp-exact
SEEN0555	202	真っ直ぐ進む$d左に$d右に	Go straight$dGo left$dGo right	向前走$d向左走$d向右走	global-jp-exact
SEEN0555	260	抱きしめる$d振り払う	Hug him$dShake him off	拥抱他$d挣脱他	global-jp-exact
SEEN0555	296	一緒にいく$d振り払う	Go with her$dShake her off	一起行动$d挣脱她	global-jp-exact
SEEN0555	425	リトライ$dもうやめる	Retry$dGive up	再挑战一次$d放弃了	global-jp-exact
SEEN1001	0	暇だから、鼻からジュースを飲ませてみる$d待ち続ける	I'm bored. I should try to make her drink juice through her nose.$dKeep waiting	太无聊了，让她用鼻子喝果汁玩玩$d一直等下去	global-jp-exact
SEEN1002	0	悪戯をする$d待ち続ける	Time for a prank$dKeep waiting	恶作剧$d耐心等下去	global-jp-exact
SEEN1003	138	悪戯をする$d置いていく	Time for a prank$dJust leave her here	恶作剧$d不去管她	global-jp-duplicate-same-zh
SEEN1004	680	悪戯をする$d置いていく	Time for a prank$dJust leave her here	恶作剧$d不去管她	global-jp-duplicate-same-zh
SEEN1009	0	悪戯をする$d放っておく	Time for a prank$dDo nothing	恶作剧$d不去管她	global-jp-exact
SEEN1417	154	立ち去る$d話しかけてみる	Just leave$dTry talking to her	离开$d向她搭话	global-jp-exact
SEEN1418	89	捕まえる$d逃がす	Gotta catch 'er$dLet her go	抓住她$d放走她	global-jp-exact
SEEN1418	643	立ち去る$dもう少し見ている	Leave$dI'll watch her just a bit more	离开$d再看一会	global-jp-exact
SEEN1422	401	どっかに置いておく$d持って帰る	Leave it somewhere$dTake it home	把它丢掉$d带回家去	global-jp-exact
SEEN1423	618	夕べ眠れずに泣いていたんだろ？$d四六時中も好きと言って$d余計なものなどないよね	You were up all night crying, right?$dTell me you love me 24/7$dThere is nothing unnecessary, right?	昨晚又哭了一夜吧？$d一天二十四小时连着说我爱你$d没有什么多余的东西吧	global-jp-exact
SEEN1426	443	力ずくで連れていく$d置いていく	Forcibly take her along$dJust leave her here	把她硬拉去$d把她留在这里	global-jp-exact
SEEN1426	3089	手伝うことにした$d退散することにした	Help her$dNot help her	决定帮助她$d决定全身而退	global-jp-exact
SEEN1426	3522	わかった。付き合うよ$d俺のことも考えてくれ	All right. Count me in$dCould you think more about me?	好吧，我陪着你$d你也为我考虑一下嘛	global-jp-exact
SEEN1427	927	正直にそのことを告げる$d内緒にしておく	Tell her the truth$dDon't tell her the truth	坦白告诉她$d暂时保密	manual-jp
SEEN1427	1165	おもむろに鼻をつまむ$d大人しくしている	Slowly pinch her nose$dJust stay still	慢慢掐住她的鼻子$d老老实实待着	global-jp-exact
SEEN1427	1754	そうだな…$dいや…	I guess so...$dNo...	是啊…$d不…	global-jp-exact
SEEN1428	5358	孫の手$d長寿箸$d鮭をくわえた熊	Back-scratching hand$dLongevity chopsticks$dCarving of a bear with a salmon in its mouth	不求人$d长寿筷$d叼着鱼的熊	global-jp-exact
SEEN1428	7873	話し合いに参加させる$d一息いれる	Make her join in the conversation$dTake a break	让她参加讨论$d休息一下	manual-jp
SEEN1428	8309	悪戯をする$dやめておく	Time for a prank$dLeave her alone	恶作剧$d算了	global-jp-exact
SEEN1429	495	渚についていく$dここに残る	Follow Nagisa$dStay here	跟着渚一起去$d留在这里	global-jp-exact
SEEN1430	377	新校舎一階の廊下$d新校舎三階の廊下$d資料室	The corridor on the 1st floor of the new building$dThe corridor on the 3rd floor of the new building$dReference room	新校舍的一楼走廊$d新校舍的三楼走廊$d资料室	global-jp-exact
SEEN1430	4264	肩を揉む$d鼻を揉む	Massage her shoulders$dMassage her nose	揉肩膀$d揉鼻子	global-jp-exact
SEEN1502	1733	他を当たることにする$d無理を言う	Try another teacher$dKeep on pushing	去找别人$d继续说服	global-jp-exact
SEEN1503	2744	ぐー$dちょき$dぱー	Rock$dScissors$dPaper	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	2870	ぐー$dちょき$dぱー	Rock$dScissors$dPaper	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	3034	ぐー$dちょき$dぱー	Rock$dScissors$dPaper	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	3112	ぐー$dぱー	Rock$dPaper	石头$d布	global-jp-exact
SEEN1503	3222	ぐー$dちょき$dぱー	Rock$dScissors$dPaper	石头$d剪子$d布	global-jp-duplicate-same-zh
SEEN1503	3444	ぐー$dぱー	Rock$dPaper	石头$d布	global-jp-exact
SEEN1511	210	オッサンに任せておく$d代わる	Leave it to the old man$dBe THE man	交给大叔$d接替他	global-jp-exact
SEEN1516	2134	キスしていいか？$dこのままでいてもいいか？	Can I kiss you?$dCan we stay like this?	可以接吻吗？$d可以继续这么待着吗？	global-jp-exact
SEEN1516	2539	このままでいてもいいか？$dとっととどいてくれ	Can we stay like this?$dJust get off me already	可以继续这么待着吗？$d快点给我闪开	global-jp-exact
SEEN2415	75	避難する$d成り行きを見守る	Escape$dWatch how things turn out	出去避难$d继续看下去	global-jp-exact
SEEN2415	356	興味がある$d興味なし	I'm interested in this$dI'm not interested in this	我对此也颇感兴趣$d我对此毫无兴趣	global-jp-exact
SEEN2417	188	見に行く$d教室に残る	Go and watch$dStay in the classroom	跟去看看$d留在教室里	global-jp-exact
SEEN2418	370	引き受ける$d断る	Accept$dRefuse	接受$d拒绝	global-jp-exact
SEEN2418	1428	蹴り返す$dよける	Kick him back$dDodge	踢回去$d躲开	pc-same-scene
SEEN2418	1869	助ける$d腕を振りほどく	Help her$dShake off her hand	帮忙$d甩开她的手	global-jp-exact
SEEN2419	308	もう、やめさせる$d放っておく	Have him stop it already$dLet him go	劝他放弃$d不管他	global-jp-exact
SEEN2421	56	声をかける$d無視	Say something$dIgnore her	打招呼$d不理她	global-jp-exact
SEEN2421	794	そうだな$dそうか？	I guess so$dIs that so	的确不错$d是这样吗？	global-jp-exact
SEEN2421	1847	辛抱する$d強引に食べる	I'll just be patient$dI eat it anyway	忍耐$d硬要吃	global-jp-exact
SEEN2422	125	今、帰るところ$d黙秘	I'm on my way home$dStay silent	现在正准备回去$d沉默	global-jp-exact
SEEN2422	613	迷惑だ$dいや、そういうのじゃなくて…	You are bothering me$dNo, it's not like that	添麻烦了$d不，不是这个意思…	global-jp-exact
SEEN2422	3366	もう、やめさせる$d春原と一緒に楽しむ	Have him stop it already$dHave fun together with Sunohara	该阻止他了$d和春原一起享受	global-jp-exact
SEEN2423	5057	あいつが長く休んでいたことを$dあいつが演劇部を目指していたことを$dあいつがあんパンを食べていたことを	About how for a long time, she had to stop school$dAbout the fact that she's trying to reform the drama club$dAbout the fact that I saw her eating anpan	那家伙休学了很长时间$d那家伙以话剧社为目标$d那家伙吃过豆沙面包	global-jp-exact
SEEN2424	2215	智代と居たいだけなのかもしれない$d退屈しのぎとして考えているのかもしれない	Perhaps I just want to be with Tomoyo$dPerhaps I just thought of her as a way to stave off boredom	说不定只是想和智代在一起$d说不定只是把她当作能够解闷的人罢了	global-jp-exact
SEEN2425	365	キスにこだわる$d支度を始める	Fixate on just kissing$dStart getting ready	坚持要求接吻$d开始准备	global-jp-exact
SEEN2426	340	外で食べる$d学食で食べる	Let's eat outside$dLet's eat in the school cafeteria	去外面吃$d在食堂里吃	global-jp-exact
SEEN2502	280	なら、その分、今…$dおまえも想像しろ	In that case, right here and now$dWhy don't you imagine those things too, then	那么，不如现在…$d那你也想象一下嘛	global-jp-exact
SEEN2502	317	エッチなこと$d柔軟体操	Something perverted$dSome gymnastics	做色色的事情$d做柔软体操	global-jp-exact
SEEN2503	286	シミュレーションしてみる$dやめておく	Run a simulation$dLet's not	幻想一下$d算了吧	global-jp-duplicate-same-zh
SEEN2503	730	シミュレーションしてみる$dやめておく	Run a simulation$dLet's not	幻想一下$d算了吧	global-jp-duplicate-same-zh
SEEN2503	1405	ああ…たぶん$dいや…違う	Yeah... Probably$dNo... Probably not	嗯…差不多吧$d不…不是这样	global-jp-exact
SEEN2504	228	度の過ぎた妄想をする$dじゃあな…と去る	Have a fantasy that exceeds all boundaries$dLeave for real	开始过分的妄想$d说再见然后离开	global-jp-exact
SEEN2505	94	このままでいいと思った$dこのままじゃいけないと思った	Think things are fine like this$dThink things can't go on like this	就这样继续下去吧$d这样下去是不行的	global-jp-exact
SEEN2506	1114	黙って智代に任せる$d口出しする	Silently let Tomoyo handle this$dInterfere	保持沉默，交给智代处理$d插嘴说话	global-jp-exact
SEEN2506	3379	いい$dよくない	It's all right$dIt's not all right	好吧$d不行	pc-same-scene
SEEN2511	1954	蹴り返す$dよける	Kick him back$dDodge	踢回去$d避开	pc-same-scene
SEEN2511	3934	手伝う$d断る	Help$dRefuse	帮忙$d拒绝	global-jp-duplicate-same-zh
SEEN3415	325	謝っておく$dムシする	Apologize$dIgnore her	道歉$d无视	global-jp-exact
SEEN3416	67	婆さんに声をかける$dそのまま通り過ぎる	Talk to the old lady$dJust keep walking	和老婆婆打个招呼$d就这样走过去	global-jp-exact
SEEN3416	1102	追求してみる$d特に気にしない	Try pressing for details$dDon't worry about it	试着追问下去$d没什么好介意的	global-jp-exact
SEEN3418	1002	おっぱい占い$dトランプ占い	She uses boobs$dShe uses playing cards	胸脯占卜$d扑克占卜	global-jp-exact
SEEN3418	2057	自分が占ってもらう$d春原を占わせる	Have her read my fortune$dLet Sunohara do it	自己去占卜$d让春原去占卜	global-jp-exact
SEEN3421	34	右に跳ぶ$d待ち構える$d左に跳ぶ	Jump right$dStay still and brace for impact$dJump left	向右跳$d站稳等着它$d向左跳	global-jp-exact
SEEN3422	1716	杏に向かってボタンを投げる$dとりあえず持っていく	Throw Botan toward Kyou$dTake him for now	把牡丹丢还给杏$d拿回去好了	global-jp-exact
SEEN3423	641	逃げる$dついていく	Run$dFollow her	逃跑$d跟着去	global-jp-exact
SEEN3424	3685	マジ？　いいのか？$dいや、もういらねぇ	Really? You will?$dNah, I don't want any more	真的？可以吗？$d不，已经不需要了	manual-jp
SEEN3425	1124	どこかで時間をつぶす$d素直に校門へ向かう	Kill time somewhere$dJust go to the school gate	找个地方消磨时间$d老老实实地去校门口	global-jp-exact
SEEN3425	3540	友達$d恋人$d夫婦	Friends$dLovers$dMarried	朋友$d恋人$d夫妇	global-jp-duplicate-same-zh
SEEN3426	2834	それでも良かったら…$dだから付き合うのは…	Let's give it a try$dIt'd honestly be difficult	如果这样也没关系的话…$d所以交往的事还是…	global-jp-exact
SEEN3428	122	このまま立ち去る$dとりあえず抱いて学校まで$d悲劇に酔いしれてみる	Just walk away$dBring him along to school$dAct like it's a tragedy	就这样离开$d还是抱到学校去吧$d把这当作悲剧来演	global-jp-exact
SEEN3428	1817	長い髪が好き$d短い髪が好き	Long hair$dShort hair	喜欢长头发$d喜欢短头发	global-jp-exact
SEEN3501	969	うまかったぞ…$dまずかったぞ…	It's good...$dIt's terrible...	很好吃啊…$d很难吃啊…	global-jp-exact
SEEN3503	2925	練習をしてみる$d黙って杏を見ている	Try practicing$dStay quiet and look at Kyou	练习试试看$d默不作声地看着杏	global-jp-exact
SEEN3504	156	タンザナイト$dアメジスト	Tanzanite$dAmethyst	坦桑蓝$d紫水晶	global-jp-exact
SEEN3505	1609	友達$d恋人$d夫婦	Friends$dLovers$dMarried	朋友$d恋人$d夫妇	global-jp-duplicate-same-zh
SEEN3505	1922	キスをする$dキスをしない	Kiss her$dDon't kiss her	接吻$d不接吻	global-jp-exact
SEEN3507	1438	飛び出す$d立ち去る	Run out$dWalk away	飞奔出去$d走开	global-jp-exact
SEEN4415	450	食べる$d断る	Eat$dRefuse	接受$d谢绝	global-jp-exact
SEEN4417	177	ついていく$d一人でぶらつく	Follow her$dWander around alone	跟着她去$d自己闲逛	global-jp-exact
SEEN4417	775	ページを切ってないか調べる$dどうでもいいので放っておく	Check for cut-up pages$dLeave it alone because I don't care	看看这些书有没有被剪过$d无所谓，不去管它	global-jp-exact
SEEN4418	54	脅かしてやる$d隠れて様子を伺う	Surprise her$dHide and see what's up	吓她一下$d藏起来看看再说	global-jp-exact
SEEN4418	832	図書室に入る$d教室に戻る	Enter the library$dReturn to class	进入图书室$d回教室	manual-jp
SEEN4418	972	ページをめくる$d名前を呼ぶ$dほっぺたをつつく	Turn a page$dCall her name$dPoke her cheek	翻页$d叫名字$d捅脸蛋	global-jp-exact
SEEN4418	1006	名前を呼ぶ$dほっぺたをつつく	Call her name$dPoke her cheek	叫名字$d捅脸蛋	global-jp-exact
SEEN4418	1057	ページをめくる$d名前を呼ぶ	Turn a page$dCall her name	翻页$d叫名字	global-jp-exact
SEEN4418	1681	放っておけない$dこれ以上関わりを持たない	I can't leave her alone$dI don't want to have anything to do with her	不能就这样不理她$d不想扯上更多的关系了	global-jp-exact
SEEN4418	2006	これからはことみと食べる$d今まで通り渚と食べる	Start eating with Kotomi$dContinue eating with Nagisa as usual	以后在这里和琴美一起吃$d和之前一样，同渚一起吃	global-jp-exact
SEEN4419	64	後を追って書店に入る$d放っておく	Follow her into the bookstore$dLeave her alone	跟在她身后进入书店$d不管她	global-jp-exact
SEEN4419	1034	ここで別れる$d家まで送ると申し出る	Part ways here$dOffer to walk her home	在这里分别$d提出送她回家	manual-jp
SEEN4420	901	図書室から立ち去る$dここにいていいか訊ねる	Leave the library$dAsk if it's all right to stay	离开图书室$d问能不能留在这里	manual-jp
SEEN4420	1185	読む$d読まない	Read$dDon't read	读$d不读	manual-jp
SEEN4421	3171	『違う』と答える$dちょっとからかってみる	Deny it$dTease her a bit	回答说「不是」$d试着捉弄她一下	global-jp-exact
SEEN4423	943	職員室に行ってみる$dもう少し待ってみる	Go to the teacher's office$dWait a little longer	去办公室看看$d再稍微等一下	global-jp-exact
SEEN4425	2488	素直に待っている$dもちろん逃げる	Wait for her$dRun away as fast as possible	老老实实等着$d没得说，逃	global-jp-exact
SEEN4429	93	このまま家にいる$d外出する	Stay at home$dGo outside	就这样待在家里$d出门	manual-jp
SEEN4430	2591	様子を見る$dことみを助ける	Keep watching$dHelp Kotomi	观察情况$d帮助琴美	global-jp-exact
SEEN4503	359	ただの友人です$d今はまだ違いますが…	She's just a friend$dNot yet...	只是朋友而已$d现在还不是那样……	global-jp-exact
SEEN4504	900	邪魔者たちを追い払う$dこのままでもいいか…	Get rid of the others$dJust keep things the way they are	赶走捣乱的家伙们$d算了，这样也好……	global-jp-exact
SEEN4504	1177	意地でも二人きりでデートする$d…もうこのままでいい	Force your way into a date with just Kotomi$dJust keep things the way they are	好歹这也是两个人的约会啊。$d……算了，就这样吧。	global-jp-exact
SEEN4505	305	告白する$dやめておく	Confess$dDon't do it	告白$d算了	global-jp-exact
SEEN4505	1628	紳士の言葉を伝える$d今は黙っておく	Tell her what the gentleman said$dDon't tell her yet	把男士的话转达给琴美$d闭口不提	global-jp-exact
SEEN4508	434	なぜそんなことを訊くんですか？$d付き合ってるというか…	Why ask something like that?$dWe're not really dating. It's more like...	为什么要问这种问题？$d我们算是正在交往吗……	global-jp-exact
SEEN4510	396	やめる$d続ける	Quit$dKeep going	作罢$d继续	pc-same-scene
SEEN4511	964	「あきらめるしかない」と言う$d「あきらめるな」と言う	Tell them they have to give up$dTell them they can't give up	说「只好放弃」$d说「不要放弃」	global-jp-exact
SEEN4511	1772	やめる$d続ける	Quit$dKeep going	放弃$d继续	pc-same-scene
SEEN5418	807	立ち去る$dもう少し話をする	Leave here$dTalk to her a bit more	离开$d再说几句话	global-jp-exact
SEEN5418	1263	寝ていく$d教室に戻る	Just sleep$dReturn to the classroom	睡觉$d回教室	global-jp-exact
SEEN5422	122	行く$d行かない	Go with Sunohara$dStay	去$d不去	global-jp-duplicate-same-zh
SEEN5422	1062	杏$d椋$d智代	Kyou$dRyou$dTomoyo	杏$d椋$d智代	global-jp-exact
SEEN5422	2165	杏$d椋	Kyou$dRyou	杏$d椋	global-jp-exact
SEEN5423	1226	やる$dやらない	Try the spell$dDon't try the spell	试试看$d不干	global-jp-exact
SEEN5424	474	する$dしない	Do it.$dDon't. Do. It.	玩$d不玩	pc-same-scene
SEEN5424	963	試してみる$d春原にやる	Give it a try$dGive the coins to Sunohara	试试看$d给春原	global-jp-exact
SEEN5424	1469	古河…$dではなく…	Furukawa...$dNot her...	古河…$d不是古河…	global-jp-exact
SEEN5424	2917	風子…$dではなく…	Fuko...$dNot her...	风子…$d不是…	global-jp-exact
SEEN5424	3106	智代…$dではなく…	Tomoyo...$dNot her...	智代…$d不是…	global-jp-exact
SEEN5424	3817	杏…$dではなく…	Kyou...$dNot her...	杏…$d不是…	global-jp-exact
SEEN5430	6055	起こす$dそのままにしておく	Wake her up$dLet her sleep	叫醒她$d就这样吧	global-jp-exact
SEEN5430	8386	いい$dよくない	It's all right$dIt's not all right	好$d不好	pc-same-scene
SEEN5430	10152	起こす$dこのまま寝かす	Wake her up$dLet her sleep	叫醒她$d让她继续睡下去	global-jp-exact
SEEN6416	4170	そうしたい$dそんなわけにはいかない	I would$dI couldn't possibly	想那样做$d怎么可以那样	global-jp-exact
SEEN6417	1790	色気$dイラスト$dコラボレーション	Sex appeal$dA drawing$dCollaboration	诱惑力$d插图$d合作伙伴	global-jp-exact
SEEN6418	877	どんな演劇をやるんですか？$dビラの絵はなんなんですか？$d好きな男のタイプは？	What kinda plays are we gonna do?$dWhat's that drawing on the fliers?$dWhat kind of guys are you into?	会演怎样的话剧呢？$d海报上画的是什么东西？$d你喜欢哪种类型的男生？	global-jp-exact
SEEN6418	1640	古河としばらく離れて歩く$d古河の手を引いて、走り抜ける	Get far away from Furukawa and keep walking$dGrab Furukawa's hand and run past him	和古河拉开点距离走$d拉着古河的手，快步跑掉	global-jp-exact
SEEN6419	1074	様子を見に行く$d行かない	Go check on her$dStay	去看看情况$d不出去	global-jp-exact
SEEN6420	116	古河の具合は？$d早苗さんは？	How's Furukawa doing?$dWhat's up with Sanae-san?	古河的身体状况怎么样？$d早苗呢？	global-jp-exact
SEEN6421	275	急いで学食へ$d窓の外を見る	Hurry to the cafeteria$dLook out the window	赶紧去食堂$d看向窗外	manual-jp
SEEN6421	1644	代わりに談判してくる$dもう一度古河に行かせる	Go to negotiate in her place$dMake Furukawa go again	代替她去谈判$d再让古河去一次	global-jp-exact
SEEN6421	2140	さらに頑張らせる$d代わりに行ってくる	Make her try again$dGo in her place	让她继续努力$d我替她去	manual-jp
SEEN6422	260	智代に話しかける$d素通りする	Talk to Tomoyo$dWalk straight by her	跟智代搭话$d直接走过去	manual-jp
SEEN6422	2762	斬る$d盗む$d魔法	Slash$dSteal$dMagic	斩杀$d偷窃$d魔法	global-jp-exact
SEEN6422	3044	風子に相談してみる$dもちろんやめる	Ask Fuko for help$dOf course I don't ask	和风子商量一下$d当然不行了	global-jp-exact
