scene	code_index	zh_text	option_count
SEEN0423	1491	睡觉$d转换下心情	2
SEEN0423	1587	叫住她$d不管她	2
SEEN0423	2911	代春原接听$d不代他接听	2
SEEN0424	504	把水含在嘴里说话吧$d无论何时都在话尾加上『还有马桶盖』吧$d用一国堂风格说话吧	3
SEEN0424	2304	逃掉$d受理	2
SEEN0424	2697	叫住她$d不管她	2
SEEN0424	3297	参加$d不参加	2
SEEN0425	595	叫住她$d不管她	2
SEEN0425	1367	抠下了扳机$d提出了忠告	2
SEEN0425	2634	比赛时要彻底地冷酷$d真可怜，去阻止春原吧	2
SEEN0425	3552	两个人一起去食堂吃饭$d让春原去买饭$d不吃午饭	3
SEEN0425	4160	操场$d体育馆$d办公室	3
SEEN0425	4464	操场$d办公室	2
SEEN0425	4684	操场$d体育馆	2
SEEN0426	589	问问看$d没兴趣	2
SEEN0428	1705	能行$d否决	2
SEEN0428	2501	阻止他$d看着不管	2
SEEN0428	3530	骗他加入$d目送	2
SEEN0555	26	向她表白$d目送她离去	2
SEEN0555	45	向她表白$d偷偷注视着她	2
SEEN0555	64	向她表白$d目送她离去	2
SEEN0555	97	挣脱她$d拥抱她	2
SEEN0555	131	跟史蒂夫一起走$d自己一个人走	2
SEEN0555	160	这里交给史蒂夫$d自己亲自战斗	2
SEEN0555	191	打开$d不打开	2
SEEN0555	202	向前走$d向左走$d向右走	3
SEEN0555	260	拥抱他$d挣脱他	2
SEEN0555	296	一起行动$d挣脱她	2
SEEN0555	425	再挑战一次$d放弃了	2
SEEN1001	0	太无聊了，让她用鼻子喝果汁玩玩$d一直等下去	2
SEEN1417	154	离开$d向她搭话	2
SEEN1418	89	抓住她$d放走她	2
SEEN1418	643	离开$d再看一会	2
SEEN1422	401	把它丢掉$d带回家去	2
SEEN1423	618	昨晚又哭了一夜吧？$d一天二十四小时连着说我爱你$d没有什么多余的东西吧	3
SEEN1426	443	把她硬拉去$d把她留在这里	2
SEEN1426	3089	决定帮助她$d决定全身而退	2
SEEN1426	3522	好吧，我陪着你$d你也为我考虑一下嘛	2
SEEN1427	1165	慢慢掐住她的鼻子$d老老实实待着	2
SEEN1427	1754	是啊…$d不…	2
SEEN1428	5358	不求人$d长寿筷$d叼着鱼的熊	3
SEEN1428	8309	恶作剧$d算了	2
SEEN1429	495	跟着渚一起去$d留在这里	2
SEEN1430	377	新校舍的一楼走廊$d新校舍的三楼走廊$d资料室	3
SEEN1430	4264	揉肩膀$d揉鼻子	2
SEEN1502	1733	去找别人$d继续说服	2
SEEN1503	2744	石头$d剪子$d布	3
SEEN1503	2870	石头$d剪子$d布	3
SEEN1503	3034	石头$d剪子$d布	3
SEEN1503	3112	石头$d布	2
SEEN1503	3222	石头$d剪子$d布	3
SEEN1503	3444	石头$d布	2
SEEN1511	210	交给大叔$d接替他	2
SEEN1516	2134	可以接吻吗？$d可以继续这么待着吗？	2
SEEN1516	2539	可以继续这么待着吗？$d快点给我闪开	2
SEEN2415	75	出去避难$d继续看下去	2
SEEN2415	356	我对此也颇感兴趣$d我对此毫无兴趣	2
SEEN2417	188	跟去看看$d留在教室里	2
SEEN2418	370	接受$d拒绝	2
SEEN2418	1428	踢回去$d躲开	2
SEEN2418	1869	帮忙$d甩开她的手	2
SEEN2419	308	劝他放弃$d不管他	2
SEEN2421	56	打招呼$d不理她	2
SEEN2421	794	的确不错$d是这样吗？	2
SEEN2421	1847	忍耐$d硬要吃	2
SEEN2422	125	现在正准备回去$d沉默	2
SEEN2422	613	添麻烦了$d不，不是这个意思…	2
SEEN2422	3366	该阻止他了$d和春原一起享受	2
SEEN2423	5057	那家伙休学了很长时间$d那家伙以话剧社为目标$d那家伙吃过豆沙面包	3
SEEN2424	2215	说不定只是想和智代在一起$d说不定只是把她当作能够解闷的人罢了	2
SEEN2425	365	坚持要求接吻$d开始准备	2
SEEN2426	340	去外面吃$d在食堂里吃	2
SEEN2502	280	那么，不如现在…$d那你也想象一下嘛	2
SEEN2502	317	做色色的事情$d做柔软体操	2
SEEN2503	286	幻想一下$d算了吧	2
SEEN2503	730	幻想一下$d算了吧	2
SEEN2503	1405	嗯…差不多吧$d不…不是这样	2
SEEN2504	228	开始过分的妄想$d说再见然后离开	2
SEEN2505	94	就这样继续下去吧$d这样下去是不行的	2
SEEN2506	1114	保持沉默，交给智代处理$d插嘴说话	2
SEEN2506	3379	好吧$d不行	2
SEEN2511	1954	踢回去$d避开	2
SEEN2511	3934	帮忙$d拒绝	2
SEEN3415	325	道歉$d无视	2
SEEN3416	67	和老婆婆打个招呼$d就这样走过去	2
SEEN3416	1102	试着追问下去$d没什么好介意的	2
SEEN3418	1002	胸脯占卜$d扑克占卜	2
SEEN3418	2057	自己去占卜$d让春原去占卜	2
SEEN3421	34	向右跳$d站稳等着它$d向左跳	3
SEEN3422	1716	把牡丹丢还给杏$d拿回去好了	2
SEEN3423	641	逃跑$d跟着去	2
SEEN3424	3685	真的？　真的可以吗？$d不，不用了	2
SEEN3425	1124	找个地方消磨时间$d老老实实地去校门口	2
SEEN3425	3540	朋友$d恋人$d夫妇	3
SEEN3426	2834	如果这样也没关系的话…$d所以交往的事还是…	2
SEEN3428	122	就这样离开$d还是抱到学校去吧$d把这当作悲剧来演	3
SEEN3428	1817	喜欢长头发$d喜欢短头发	2
SEEN3501	969	很好吃啊…$d很难吃啊…	2
SEEN3503	2925	练习试试看$d默不作声地看着杏	2
SEEN3504	156	坦桑蓝$d紫水晶	2
SEEN3505	1609	朋友$d恋人$d夫妇	3
SEEN3505	1922	接吻$d不接吻	2
SEEN3507	1438	飞奔出去$d走开	2
SEEN4415	450	接受$d谢绝	2
SEEN4417	177	跟着她去$d自己闲逛	2
SEEN4417	775	看看这些书有没有被剪过$d无所谓，不去管它	2
SEEN4418	54	吓她一下$d藏起来看看再说	2
SEEN4418	832	进入图书室$d返回教室	2
SEEN4418	972	翻页$d叫名字$d捅脸蛋	3
SEEN4418	1006	叫名字$d捅脸蛋	2
SEEN4418	1057	翻页$d叫名字	2
SEEN4418	1681	不能就这样不理她$d不想扯上更多的关系了	2
SEEN4418	2006	以后在这里和琴美一起吃$d和之前一样，同渚一起吃	2
SEEN4419	64	跟在她身后进入书店$d不管她	2
SEEN4419	1034	就此分别$d送她回家	2
SEEN4420	901	离开图书室$d问「我能待在这里吗？」	2
SEEN4421	3171	回答说「不是」$d试着捉弄她一下	2
SEEN4423	943	去办公室看看$d再稍微等一下	2
SEEN4425	2488	老老实实等着$d没得说，逃	2
SEEN4430	2591	观察情况$d帮助琴美	2
SEEN4503	359	只是朋友而已$d现在还不是那样……	2
SEEN4504	900	赶走捣乱的家伙们$d算了，这样也好……	2
SEEN4504	1177	好歹这也是两个人的约会啊。$d……算了，就这样吧。	2
SEEN4505	305	告白$d算了	2
SEEN4505	1628	把男士的话转达给琴美$d闭口不提	2
SEEN4508	434	为什么要问这种问题？$d我们算是正在交往吗……	2
SEEN4510	396	作罢$d继续	2
SEEN4511	964	说「只好放弃」$d说「不要放弃」	2
SEEN4511	1772	放弃$d继续	2
SEEN5418	807	离开$d再说几句话	2
SEEN5418	1263	睡觉$d回教室	2
SEEN5422	122	去$d不去	2
SEEN5422	1062	杏$d椋$d智代	3
SEEN5422	2165	杏$d椋	2
SEEN5423	1226	试试看$d不干	2
SEEN5424	474	玩$d不玩	2
SEEN5424	963	试试看$d给春原	2
SEEN5424	1469	古河…$d不是古河…	2
SEEN5424	2917	风子…$d不是…	2
SEEN5424	3106	智代…$d不是…	2
SEEN5424	3817	杏…$d不是…	2
SEEN5430	6055	叫醒她$d就这样吧	2
SEEN5430	8386	好$d不好	2
SEEN5430	10152	叫醒她$d让她继续睡下去	2
SEEN6416	4170	想那样做$d怎么可以那样	2
SEEN6417	1790	诱惑力$d插图$d合作伙伴	3
SEEN6418	877	会演怎样的话剧呢？$d海报上画的是什么东西？$d你喜欢哪种类型的男生？	3
SEEN6418	1640	和古河拉开点距离走$d拉着古河的手，快步跑掉	2
SEEN6419	1074	去看看情况$d不出去	2
SEEN6420	116	古河的身体状况怎么样？$d早苗呢？	2
SEEN6421	275	赶去学生食堂$d看看窗外	2
SEEN6421	1644	代替她去谈判$d再让古河去一次	2
SEEN6421	2140	再让她去试试$d代替她去	2
SEEN6422	260	和智代搭话$d装作没看见	2
SEEN6422	2762	斩杀$d偷窃$d魔法	3
SEEN6422	3044	和风子商量一下$d当然不行了	2
SEEN6422	3209	和藤林姐妹商量$d和班主任商量	2
SEEN6423	968	是啊$d不是	2
SEEN6423	2242	大概是这样吧$d不是的	2
SEEN6423	2569	睡觉$d转换心情	2
SEEN6423	2665	叫住她$d不管她	2
SEEN6424	156	叫住她$d不管她	2
SEEN6424	1520	就这样注视着她$d紧紧抱住她	2
SEEN6425	2845	叫住她$d暂时不管她	2
SEEN6426	1330	赶路要紧$d问问看他们	2
SEEN6426	3075	去找找看$d等到星期一	2
SEEN6426	3121	让幸村加入队伍$d不要他加入	2
SEEN6426	5040	好的$d自己一个人去吧	2
SEEN6427	281	来买面包$d来帮忙	2
SEEN6427	1810	抱着渚的肩膀$d克制自己	2
SEEN6428	1486	让她练习$d让她和芽衣玩	2
SEEN6428	1896	在新校舍寻找$d在旧校舍寻找	2
SEEN6428	1903	去二楼寻找$d去三楼寻找	2
SEEN6428	2525	能行$d再考虑一下	2
SEEN6428	3737	避免运动不足$d最后做一次蠢事$d卖我们个人情	3
SEEN6428	4809	说明$d但很麻烦啊…	2
SEEN6428	6967	拜托你了，请成为我们的一员吧$d不用特别勉强自己	2
SEEN6428	7440	去空教室找找$d去资料室找找	2
SEEN6428	8875	可以$d再考虑一下	2
SEEN6428	9537	邀请她$d不邀请她	2
SEEN6428	9871	去找美佐枝小姐$d这也不行	2
SEEN6428	11558	练习$d想对策	2
SEEN6428	11755	练习$d想对策	2
SEEN6430	4092	最后一球给智代$d最后一球给我	2
SEEN6430	5668	最后一球给芳野佑介$d最后一球给我	2
SEEN6430	7423	最后一球给美佐枝小姐$d最后一球给我	2
SEEN6430	9652	最后一球传给大叔$d最后一球传给我	2
SEEN6430	11482	最后一球给杏$d最后一球给我	2
SEEN6444	988	问问看他们$d不感兴趣	2
SEEN6501	2504	送礼物$d邀请她约会$d在耳边诉说爱意	3
SEEN6502	2046	喜欢$d我已经有渚了	2
SEEN6510	224	夺走剧本$d夺走双唇$d夺走心	3
SEEN6511	318	你是个很棒的父亲$d你作为父亲真是失职	2
SEEN6511	2036	呼喊$d沉默地旁观	2
SEEN6727	285	可以$d不好	2
SEEN6728	1224	随便她$d阻止她	2
SEEN6729	3356	问她到底怎么回事$d拜托再来一次	2
SEEN6803	100	呼唤她$d保持沉默	2
SEEN7000	2629	喜欢$d不是那样的……	2
SEEN7200	2121	大叔的事$dＨ的事	2
SEEN7200	2630	抱住渚$d回答「早上好」	2
SEEN7500	1595	问她还可以再来吗$d不会再来了	2
SEEN7500	3269	严厉$d温柔$d战斗力很高	3
SEEN7500	3280	为我操心$d温柔$d战斗力很高	3
SEEN7500	3291	被窝中的味道很香$d温柔$d战斗力很高	3
SEEN7500	3329	为我操心$d被窝中的味道很香$d战斗力很高	3
SEEN7500	3367	为我操心$d温柔$d被窝中的味道很香	3
SEEN7500	3404	为我操心$d严厉$d战斗力很高	3
SEEN7500	3415	被窝中的味道很香$d严厉$d战斗力很高	3
SEEN7500	3452	为我操心$d被窝中的味道很香$d战斗力很高	3
SEEN7500	3490	为我操心$d严厉$d被窝中的味道很香	3
SEEN7500	3528	严厉$d温柔$d为我操心	3
SEEN7500	3539	被窝中的味道很香$d温柔$d为我操心	3
SEEN7500	3575	严厉$d被窝中的味道很香$d为我操心	3
SEEN7500	3611	严厉$d温柔$d被窝中的味道很香	3
